uri	url	ccn	name
http://vivo.ufl.edu/individual/n1000131983	                         http://www.registrar.ufl.edu/cdesc.php?crs=FOR3342C	FOR3342C	FOR3342C Tree Biology
http://vivo.ufl.edu/individual/n1000287438	                         http://www.registrar.ufl.edu/cdesc.php?crs=THE4970	THE4970	THE4970 Sr Proj B.a. Majors
http://vivo.ufl.edu/individual/n1000666075	                         http://www.registrar.ufl.edu/cdesc.php?crs=MUC4442	MUC4442	MUC4442 Electroacoustic Dig 2
http://vivo.ufl.edu/individual/n1000825642	                         http://www.registrar.ufl.edu/cdesc.php?crs=LAW6520	LAW6520	LAW6520 Administrative Law
http://vivo.ufl.edu/individual/n1000925041	                         http://www.registrar.ufl.edu/cdesc.php?crs=MAN6573	MAN6573	MAN6573 Purchase/matls Manage
http://vivo.ufl.edu/individual/n100136251	                         http://www.registrar.ufl.edu/cdesc.php?crs=PHY1033C	PHY1033C	PHY1033C Discovering Physics
http://vivo.ufl.edu/individual/n1001474394	                         http://www.registrar.ufl.edu/cdesc.php?crs=EML5515	EML5515	EML5515 Gas Turb & Jet Eng
http://vivo.ufl.edu/individual/n1002172005	                         http://www.registrar.ufl.edu/cdesc.php?crs=ARC6940	ARC6940	ARC6940 Supervised Teaching
http://vivo.ufl.edu/individual/n100236245	                         http://www.registrar.ufl.edu/cdesc.php?crs=PAS5027C	PAS5027C	PAS5027C Ekg Intrp/life Supp
http://vivo.ufl.edu/individual/n1002646716	                         http://www.registrar.ufl.edu/cdesc.php?crs=DEN6973	DEN6973	DEN6973 Proj Lieu Of Thesis
http://vivo.ufl.edu/individual/n1002738959	                         http://www.registrar.ufl.edu/cdesc.php?crs=CEG4011	CEG4011	CEG4011 Soil Mechanics
http://vivo.ufl.edu/individual/n100311969	                         http://www.registrar.ufl.edu/cdesc.php?crs=CGN6505	CGN6505	CGN6505 Prop Des & Cont Conc
http://vivo.ufl.edu/individual/n1003202252	                         http://www.registrar.ufl.edu/cdesc.php?crs=CWR4120	CWR4120	CWR4120 Groundwater
http://vivo.ufl.edu/individual/n1003341600	                         http://www.registrar.ufl.edu/cdesc.php?crs=EGM3520	EGM3520	EGM3520 Mechanics Of Material
http://vivo.ufl.edu/individual/n1003516786	                         http://www.registrar.ufl.edu/cdesc.php?crs=EUH3206	EUH3206	EUH3206 20th Century Europe
http://vivo.ufl.edu/individual/n1003521014	                         http://www.registrar.ufl.edu/cdesc.php?crs=ECO3532	ECO3532	ECO3532 Public Choice
http://vivo.ufl.edu/individual/n1003579622	                         http://www.registrar.ufl.edu/cdesc.php?crs=DEN6656	DEN6656	DEN6656 Intro Adv Periodontol
http://vivo.ufl.edu/individual/n1003987541	                         http://www.registrar.ufl.edu/cdesc.php?crs=NGR6248L	NGR6248L	NGR6248L Adlt Acte Nur Prac 3
http://vivo.ufl.edu/individual/n1004041845	                         http://www.registrar.ufl.edu/cdesc.php?crs=ARC3022	ARC3022	ARC3022 Intr Arch Photography
http://vivo.ufl.edu/individual/n1004220823	                         http://www.registrar.ufl.edu/cdesc.php?crs=LEI6839	LEI6839	LEI6839 Heritage Tourism
http://vivo.ufl.edu/individual/n1004398090	                         http://www.registrar.ufl.edu/cdesc.php?crs=SYA6306	SYA6306	SYA6306 Meth Social Res 2
http://vivo.ufl.edu/individual/n1004921141	                         http://www.registrar.ufl.edu/cdesc.php?crs=CEG4104	CEG4104	CEG4104 Retain Wall Embank
http://vivo.ufl.edu/individual/n1005439814	                         http://www.registrar.ufl.edu/cdesc.php?crs=VEM5101	VEM5101	VEM5101 Vet Gross Anatomy
http://vivo.ufl.edu/individual/n1005528141	                         http://www.registrar.ufl.edu/cdesc.php?crs=EDH6040	EDH6040	EDH6040 Theo College Stu Dev
http://vivo.ufl.edu/individual/n1005660646	                         http://www.registrar.ufl.edu/cdesc.php?crs=MAR4956	MAR4956	MAR4956 International Studies
http://vivo.ufl.edu/individual/n100606924	                         http://www.registrar.ufl.edu/cdesc.php?crs=OTH5115C	OTH5115C	OTH5115C Ther Skill 2: Area Op
http://vivo.ufl.edu/individual/n1006154578	                         http://www.registrar.ufl.edu/cdesc.php?crs=EAB6099	EAB6099	EAB6099 Surv Behav Analysis
http://vivo.ufl.edu/individual/n100620187	                         http://www.registrar.ufl.edu/cdesc.php?crs=FOS2001	FOS2001	FOS2001 Mans Food
http://vivo.ufl.edu/individual/n1006499440	                         http://www.registrar.ufl.edu/cdesc.php?crs=PHM2204	PHM2204	PHM2204 Social Issues/thought
http://vivo.ufl.edu/individual/n1007072565	                         http://www.registrar.ufl.edu/cdesc.php?crs=APK3301	APK3301	APK3301 Prin Athletic Train
http://vivo.ufl.edu/individual/n1007333417	                         http://www.registrar.ufl.edu/cdesc.php?crs=PHI5365	PHI5365	PHI5365 Epistemology
http://vivo.ufl.edu/individual/n1007418031	                         http://www.registrar.ufl.edu/cdesc.php?crs=ECO7980	ECO7980	ECO7980 Doctoral Research
http://vivo.ufl.edu/individual/n1007578562	                         http://www.registrar.ufl.edu/cdesc.php?crs=ECO7525	ECO7525	ECO7525 Welfare Econ/2nd Best
http://vivo.ufl.edu/individual/n1007801045	                         http://www.registrar.ufl.edu/cdesc.php?crs=NGR6944	NGR6944	NGR6944 Indiv Clinic Practice
http://vivo.ufl.edu/individual/n1007836523	                         http://www.registrar.ufl.edu/cdesc.php?crs=SPA6564	SPA6564	SPA6564 Communication & Aging
http://vivo.ufl.edu/individual/n1008296998	                         http://www.registrar.ufl.edu/cdesc.php?crs=ISM6129	ISM6129	ISM6129 Adv Sys Design/dev 2
http://vivo.ufl.edu/individual/n1008314076	                         http://www.registrar.ufl.edu/cdesc.php?crs=BCH6107	BCH6107	BCH6107 Proteomics/protn Sci
http://vivo.ufl.edu/individual/n1008464903	                         http://www.registrar.ufl.edu/cdesc.php?crs=PAS5185	PAS5185	PAS5185 Gerontology
http://vivo.ufl.edu/individual/n1008728984	                         http://www.registrar.ufl.edu/cdesc.php?crs=GMS6405	GMS6405	GMS6405 Fund Endocrine Physio
http://vivo.ufl.edu/individual/n1008814721	                         http://www.registrar.ufl.edu/cdesc.php?crs=AST7980	AST7980	AST7980 Doctoral Research
http://vivo.ufl.edu/individual/n100884357	                         http://www.registrar.ufl.edu/cdesc.php?crs=EDH6305	EDH6305	EDH6305 College & Univ Teach
http://vivo.ufl.edu/individual/n1008952408	                         http://www.registrar.ufl.edu/cdesc.php?crs=PAS5102L	PAS5102L	PAS5102L Internal Medicine 3
http://vivo.ufl.edu/individual/n1009867940	                         http://www.registrar.ufl.edu/cdesc.php?crs=LAT6425	LAT6425	LAT6425 Latin Prose Compos
http://vivo.ufl.edu/individual/n1010002601	                         http://www.registrar.ufl.edu/cdesc.php?crs=DCP6714	DCP6714	DCP6714 Built Heritage Resour
http://vivo.ufl.edu/individual/n1010052183	                         http://www.registrar.ufl.edu/cdesc.php?crs=BCN3027C	BCN3027C	BCN3027C Intro Construct Mgmt
http://vivo.ufl.edu/individual/n1010098154		GLY2038	GLY2038 Sustain & Chng Earth
http://vivo.ufl.edu/individual/n1010156962	                         http://www.registrar.ufl.edu/cdesc.php?crs=HIS6971	HIS6971	HIS6971 Masters Research
http://vivo.ufl.edu/individual/n1010331079	                         http://www.registrar.ufl.edu/cdesc.php?crs=SPW4233	SPW4233	SPW4233 Sp-am Narr Orig-criol
http://vivo.ufl.edu/individual/n1010396820	                         http://www.registrar.ufl.edu/cdesc.php?crs=SWS5406	SWS5406	SWS5406 Soil/water Chemistry
http://vivo.ufl.edu/individual/n1010406851	                         http://www.registrar.ufl.edu/cdesc.php?crs=MET6530	MET6530	MET6530 Hurricanes
http://vivo.ufl.edu/individual/n101080269	                         http://www.registrar.ufl.edu/cdesc.php?crs=PHC6080	PHC6080	PHC6080 Sas Pub Hlth - Data
http://vivo.ufl.edu/individual/n1010809453	                         http://www.registrar.ufl.edu/cdesc.php?crs=LAW6460	LAW6460	LAW6460 Land Use Plan & Cont
http://vivo.ufl.edu/individual/n1010837927	                         http://www.registrar.ufl.edu/cdesc.php?crs=STA6707	STA6707	STA6707 Analysis Multi Data
http://vivo.ufl.edu/individual/n1011040729	                         http://www.registrar.ufl.edu/cdesc.php?crs=STA6326	STA6326	STA6326 Intro Theoret Stat 1
http://vivo.ufl.edu/individual/n101120525	                         http://www.registrar.ufl.edu/cdesc.php?crs=CPO4722	CPO4722	CPO4722 Lat Amer & Carrib Mig
http://vivo.ufl.edu/individual/n1011554590	                         http://www.registrar.ufl.edu/cdesc.php?crs=FRC3252	FRC3252	FRC3252 Trop & Subtrop Fruits
http://vivo.ufl.edu/individual/n1011587956	                         http://www.registrar.ufl.edu/cdesc.php?crs=CJL4110	CJL4110	CJL4110 Criminal Law
http://vivo.ufl.edu/individual/n1011973427	                         http://www.registrar.ufl.edu/cdesc.php?crs=ENU6936	ENU6936	ENU6936 Special Projects
http://vivo.ufl.edu/individual/n1011974675	                         http://www.registrar.ufl.edu/cdesc.php?crs=PLP3002C	PLP3002C	PLP3002C Funda Of Plant Pathol
http://vivo.ufl.edu/individual/n1012023593	                         http://www.registrar.ufl.edu/cdesc.php?crs=MAR6648	MAR6648	MAR6648 Market Res Manag Dec
http://vivo.ufl.edu/individual/n1012617620	                         http://www.registrar.ufl.edu/cdesc.php?crs=LNW6105	LNW6105	LNW6105 The Roman Tradition
http://vivo.ufl.edu/individual/n1013022020	                         http://www.registrar.ufl.edu/cdesc.php?crs=ANT4147C	ANT4147C	ANT4147C Enviro Archaeology
