Name|State|Longitude|Latitude
New York City|New York|40.6643N|73.9385W
Los Angeles|California|34.0194N|118.4108W
Chicago|Illinois|41.8376N|87.6818W
Houston|Texas|29.7805N|95.3863W
Philadelphia|Pennsylvania|40.0094N|75.1333W
Phoenix|Arizona|33.5722N|112.0880W
San Antonio|Texas|29.4724N|98.5251W
San Diego|California|32.8153N|117.1350W
Dallas|Texas|32.7757N|96.7967W
San Jose|California|37.2969N|121.8193W
Austin|Texas|30.3072N|97.7560W
Jacksonville|Florida|30.3370N|81.6613W
Indianapolis|Indiana|39.7767N|86.1459W
San Francisco|California|37.7751N|122.4193W
Columbus|Ohio|39.9848N|82.9850W
Fort Worth|Texas|32.7795N|97.3463W
Charlotte|North Carolina|35.2087N|80.8307W
Detroit|Michigan|42.3830N|83.1022W
El Paso|Texas|31.8484N|106.4270W
Memphis|Tennessee|35.1035N|89.9785W
Boston|Massachusetts|42.3320N|71.0202W
Seattle|Washington|47.6205N|122.3509W
Denver|Colorado|39.7618N|104.8806W
Washington|District of Columbia|38.9041N|77.0171W
Nashville|Tennessee|36.1718N|86.7850W
Baltimore|Maryland|39.3002N|76.6105W
Louisville|Kentucky|38.1781N|85.6667W
Portland|Oregon|45.5370N|122.6500W
Oklahoma City|Oklahoma|35.4671N|97.5137W
Milwaukee|Wisconsin|43.0633N|87.9667W
Las Vegas|Nevada|36.2277N|115.2640W
Albuquerque|New Mexico|35.1056N|106.6474W
Tucson|Arizona|32.1543N|110.8711W
Fresno|California|36.7827N|119.7945W
Sacramento|California|38.5666N|121.4686W
Long Beach|California|33.8091N|118.1553W
Kansas City|Missouri|39.1252N|94.5511W
Mesa|Arizona|33.4019N|111.7174W
Virginia Beach|Virginia|36.7793N|76.0240W
Atlanta|Georgia|33.7629N|84.4227W
Colorado Springs|Colorado|38.8673N|104.7607W
Raleigh|North Carolina|35.8302N|78.6414W
Omaha|Nebraska|41.2647N|96.0419W
Miami|Florida|25.7752N|80.2086W
Oakland|California|37.7699N|122.2256W
Tulsa|Oklahoma|36.1279N|95.9023W
Minneapolis|Minnesota|44.9633N|93.2683W
Cleveland|Ohio|41.4781N|81.6795W
Wichita|Kansas|37.6907N|97.3427W
Arlington|Texas|32.7007N|97.1247W
New Orleans|Louisiana|30.0686N|89.9390W
Bakersfield|California|35.3212N|119.0183W
Tampa|Florida|27.9701N|82.4797W
Honolulu|Hawaii|21.3259N|157.8453W
Anaheim|California|33.8555N|117.7601W
Aurora|Colorado|32.7007N|97.1247W
Santa Ana|California|33.7365N|117.8826W
St. Louis|Missouri|38.6357N|90.2446W
Riverside|California|33.9381N|117.3932W
Corpus Christi|Texas|27.7543N|97.1734W
Pittsburgh|Pennsylvania|40.4398N|79.9766W
Lexington|Kentucky|38.0402N|84.4584W
Anchorage|Alaska|61.1775N|149.2744W
Stockton|California|37.9763N|121.3133W
Cincinnati|Ohio|39.1399N|84.5064W
Saint Paul|Minnesota|44.9489N|93.1039W
Toledo|Ohio|41.6641N|83.5819W
Newark|New Jersey|40.7242N|74.1726W
Greensboro|North Carolina|36.0965N|79.8271W
Plano|Texas|33.0508N|96.7479W
Henderson|Nevada|36.0122N|115.0375W
Lincoln|Nebraska|40.8090N|96.6804W
Buffalo|New York|42.8925N|78.8597W
Fort Wayne|Indiana|41.0882N|85.1439W
Jersey City|New Jersey|40.7114N|74.0648W
Chula Vista|California|32.6277N|117.0152W
Orlando|Florida|28.4159N|81.2988W
St. Petersburg|Florida|27.7620N|82.6441W
Norfolk|Virginia|36.9230N|76.2446W
Chandler|Arizona|33.2829N|111.8549W
Laredo|Texas|27.5477N|99.4869W
Madison|Wisconsin|43.0878N|89.4301W
Durham|North Carolina|35.9810N|78.9056W
Lubbock|Texas|33.5665N|101.8867W
Winston–Salem|North Carolina|36.1033N|80.2606W
Garland|Texas|32.9098N|96.6304W
Glendale|Arizona|33.5331N|112.1899W
Hialeah|Florida|25.8699N|80.3029W
Reno|Nevada|39.4745N|119.7765W
Baton Rouge|Louisiana|30.4485N|91.1259W
Irvine|California|33.6784N|117.7713W
Chesapeake|Virginia|36.6794N|76.3018W
Irving|Texas|32.8577N|96.9700W
Scottsdale|Arizona|33.6687N|111.8237W
North Las Vegas|Nevada|36.2830N|115.0893W
Fremont|California|37.4944N|121.9411W
Gilbert|Arizona|33.3102N|111.7422W
San Bernardino|California|34.1393N|117.2953W
Boise|Idaho|43.5985N|116.2311W
Birmingham|Alabama|33.5274N|86.7990W
Rochester|New York|43.1699N|77.6169W
Richmond|Virginia|37.5314N|77.4760W
Spokane|Washington|47.6736N|117.4166W
Des Moines|Iowa|41.5739N|93.6167W
Montgomery|Alabama|32.3463N|86.2686W
Modesto|California|37.6609N|120.9891W
Fayetteville|North Carolina|35.0851N|78.9803W
Tacoma|Washington|47.2522N|122.4598W
Shreveport|Louisiana|32.4670N|93.7927W
Fontana|California|34.1088N|117.4627W
Oxnard|California|34.2023N|119.2046W
Aurora|Illinois|41.7635N|88.2901W
Moreno Valley|California|33.9233N|117.2057W
Akron|Ohio|41.0805N|81.5214W
Yonkers|New York|40.9459N|73.8674W
Columbus|Georgia|32.5102N|84.8749W
Augusta|Georgia|33.3655N|82.0734W
Little Rock|Arkansas|34.7254N|92.3586W
Amarillo|Texas|35.1978N|101.8287W
Mobile|Alabama|30.6684N|88.1002W
Huntington Beach|California|33.6906N|118.0093W
Glendale|California|34.1814N|118.2458W
Grand Rapids|Michigan|42.9612N|85.6556W
Salt Lake City|Utah|40.7785N|111.9314W
Tallahassee|Florida|30.4551N|84.2534W
Huntsville|Alabama|34.7843N|86.5390W
Worcester|Massachusetts|42.2695N|71.8078W
Knoxville|Tennessee|35.9709N|83.9465W
Grand Prairie|Texas|32.6842N|97.0210W
Newport News|Virginia|37.0760N|76.5217W
Brownsville|Texas|26.0183N|97.4538W
Santa Clarita|California|34.4049N|118.5047W
Overland Park|Kansas|38.8890N|94.6906W
Providence|Rhode Island|41.8231N|71.4188W
Jackson|Mississippi|32.3158N|90.2128W
Garden Grove|California|33.7788N|117.9605W
Oceanside|California|33.2246N|117.3062W
Chattanooga|Tennessee|35.0665N|85.2471W
Fort Lauderdale|Florida|26.1413N|80.1439W
Rancho Cucamonga|California|34.1233N|117.5642W
