uri	name	state	lat	long
	San Juan	Puerto Rico	18.466	-66.106
	Bayamon	Puerto Rico	18.399	-66.156
	Carolina	Puerto Rico	18.381	-65.957
	Ponce	Puerto Rico	18.011	-66.614
	New York City	New York	40.6643	-73.9385
	Los Angeles	California	34.0194	-118.4108
	Chicago	Illinois	41.8376	-87.6818
	Houston	Texas	29.7805	-95.3863
	Philadelphia	Pennsylvania	40.0094	-75.1333
	Phoenix	Arizona	33.5722	-112.088
	San Antonio	Texas	29.4724	-98.5251
	San Diego	California	32.8153	-117.135
	Dallas	Texas	32.7757	-96.7967
	San Jose	California	37.2969	-121.8193
	Austin	Texas	30.3072	-97.756
	Jacksonville	Florida	30.337	-81.6613
	Indianapolis	Indiana	39.7767	-86.1459
	San Francisco	California	37.7751	-122.4193
	Columbus	Ohio	39.9848	-82.985
	Fort Worth	Texas	32.7795	-97.3463
	Charlotte	North Carolina	35.2087	-80.8307
	Detroit	Michigan	42.383	-83.1022
	El Paso	Texas	31.8484	-106.427
	Memphis	Tennessee	35.1035	-89.9785
	Boston	Massachusetts	42.332	-71.0202
	Seattle	Washington	47.6205	-122.3509
	Denver	Colorado	39.7618	-104.8806
	Washington	District of Columbia	38.9041	-77.0171
	Nashville	Tennessee	36.1718	-86.785
	Baltimore	Maryland	39.3002	-76.6105
	Louisville	Kentucky	38.1781	-85.6667
	Portland	Oregon	45.537	-122.65
	Oklahoma City	Oklahoma	35.4671	-97.5137
	Milwaukee	Wisconsin	43.0633	-87.9667
	Las Vegas	Nevada	36.2277	-115.264
	Albuquerque	New Mexico	35.1056	-106.6474
	Tucson	Arizona	32.1543	-110.8711
	Fresno	California	36.7827	-119.7945
	Sacramento	California	38.5666	-121.4686
	Long Beach	California	33.8091	-118.1553
	Kansas City	Missouri	39.1252	-94.5511
	Mesa	Arizona	33.4019	-111.7174
	Virginia Beach	Virginia	36.7793	-76.024
	Atlanta	Georgia	33.7629	-84.4227
	Colorado Springs	Colorado	38.8673	-104.7607
	Raleigh	North Carolina	35.8302	-78.6414
	Omaha	Nebraska	41.2647	-96.0419
	Miami	Florida	25.7752	-80.2086
	Oakland	California	37.7699	-122.2256
	Tulsa	Oklahoma	36.1279	-95.9023
	Minneapolis	Minnesota	44.9633	-93.2683
	Cleveland	Ohio	41.4781	-81.6795
	Wichita	Kansas	37.6907	-97.3427
	Arlington	Texas	32.7007	-97.1247
	New Orleans	Louisiana	30.0686	-89.939
	Bakersfield	California	35.3212	-119.0183
	Tampa	Florida	27.9701	-82.4797
	Honolulu	Hawaii	21.3259	-157.8453
	Anaheim	California	33.8555	-117.7601
	Aurora	Colorado	32.7007	-97.1247
	Santa Ana	California	33.7365	-117.8826
	St. Louis	Missouri	38.6357	-90.2446
	Riverside	California	33.9381	-117.3932
	Corpus Christi	Texas	27.7543	-97.1734
	Pittsburgh	Pennsylvania	40.4398	-79.9766
	Lexington	Kentucky	38.0402	-84.4584
	Anchorage	Alaska	61.1775	-149.2744
	Stockton	California	37.9763	-121.3133
	Cincinnati	Ohio	39.1399	-84.5064
	Saint Paul	Minnesota	44.9489	-93.1039
	Toledo	Ohio	41.6641	-83.5819
	Newark	New Jersey	40.7242	-74.1726
	Greensboro	North Carolina	36.0965	-79.8271
	Plano	Texas	33.0508	-96.7479
	Henderson	Nevada	36.0122	-115.0375
	Lincoln	Nebraska	40.809	-96.6804
	Buffalo	New York	42.8925	-78.8597
	Fort Wayne	Indiana	41.0882	-85.1439
	Jersey City	New Jersey	40.7114	-74.0648
	Chula Vista	California	32.6277	-117.0152
	Orlando	Florida	28.4159	-81.2988
	St. Petersburg	Florida	27.762	-82.6441
	Norfolk	Virginia	36.923	-76.2446
	Chandler	Arizona	33.2829	-111.8549
	Laredo	Texas	27.5477	-99.4869
	Madison	Wisconsin	43.0878	-89.4301
	Durham	North Carolina	35.981	-78.9056
	Lubbock	Texas	33.5665	-101.8867
	Winstonâ€“Salem	North Carolina	36.1033	-80.2606
	Garland	Texas	32.9098	-96.6304
	Glendale	Arizona	33.5331	-112.1899
	Hialeah	Florida	25.8699	-80.3029
	Reno	Nevada	39.4745	-119.7765
	Baton Rouge	Louisiana	30.4485	-91.1259
	Irvine	California	33.6784	-117.7713
	Chesapeake	Virginia	36.6794	-76.3018
	Irving	Texas	32.8577	-96.97
	Scottsdale	Arizona	33.6687	-111.8237
	North Las Vegas	Nevada	36.283	-115.0893
	Fremont	California	37.4944	-121.9411
	Gilbert	Arizona	33.3102	-111.7422
	San Bernardino	California	34.1393	-117.2953
	Boise	Idaho	43.5985	-116.2311
	Birmingham	Alabama	33.5274	-86.799
	Rochester	New York	43.1699	-77.6169
	Richmond	Virginia	37.5314	-77.476
	Spokane	Washington	47.6736	-117.4166
	Des Moines	Iowa	41.5739	-93.6167
	Montgomery	Alabama	32.3463	-86.2686
	Modesto	California	37.6609	-120.9891
	Fayetteville	North Carolina	35.0851	-78.9803
	Tacoma	Washington	47.2522	-122.4598
	Shreveport	Louisiana	32.467	-93.7927
	Fontana	California	34.1088	-117.4627
	Oxnard	California	34.2023	-119.2046
	Aurora	Illinois	41.7635	-88.2901
	Moreno Valley	California	33.9233	-117.2057
	Akron	Ohio	41.0805	-81.5214
	Yonkers	New York	40.9459	-73.8674
	Columbus	Georgia	32.5102	-84.8749
	Augusta	Georgia	33.3655	-82.0734
	Little Rock	Arkansas	34.7254	-92.3586
	Amarillo	Texas	35.1978	-101.8287
	Mobile	Alabama	30.6684	-88.1002
	Huntington Beach	California	33.6906	-118.0093
	Glendale	California	34.1814	-118.2458
	Grand Rapids	Michigan	42.9612	-85.6556
	Salt Lake City	Utah	40.7785	-111.9314
	Tallahassee	Florida	30.4551	-84.2534
	Huntsville	Alabama	34.7843	-86.539
	Worcester	Massachusetts	42.2695	-71.8078
	Knoxville	Tennessee	35.9709	-83.9465
