short	vivo
A.A. Associate of Arts	http://vivoweb.org/ontology/degree/academicDegree132
A.B. Bachelor of Arts	http://vivoweb.org/ontology/degree/academicDegree1
A.M.T. Master of Arts in Teaching	http://vivoweb.org/ontology/degree/academicDegree3
A.S. Associate of Science	http://vivoweb.org/ontology/degree/academicDegree127
ADN Associate Degree Nursing	http://vivoweb.org/ontology/degree/academicDegree118
AeEng. Aeronautical Engineer	http://vivoweb.org/ontology/degree/academicDegree2
Au.D. Doctor of Audiology	http://vivoweb.org/ontology/degree/academicDegree145
B.A. Bachelor of Arts	http://vivoweb.org/ontology/degree/academicDegree4
B.A.E. Aeronautical Engineering	http://vivoweb.org/ontology/degree/academicDegree7
B.A.E. Agricultural Engineering	http://vivoweb.org/ontology/degree/academicDegree8
B.A.E. Architectural Engineering	http://vivoweb.org/ontology/degree/academicDegree9
B.A.E. Bachelor of Art Education	http://vivoweb.org/ontology/degree/academicDegree6
B.A.E. Bachelor of Arts in Education	http://vivoweb.org/ontology/degree/academicDegree5
B.A.M. Bachelor of Applied Mathematics	http://vivoweb.org/ontology/degree/academicDegree11
B.A.S. Bachelor of Applied Science	http://vivoweb.org/ontology/degree/academicDegree124
B.Ag. Bachelor of Agriculture	http://vivoweb.org/ontology/degree/academicDegree10
B.Arch. Bachelor of Architecture	http://vivoweb.org/ontology/degree/academicDegree12
B.B.A. Bachelor of Business Administration	http://vivoweb.org/ontology/degree/academicDegree13
B.C.E. Bachelor of Civil Engineering	http://vivoweb.org/ontology/degree/academicDegree14
B.C.L. Bachelor of Canon Law	http://vivoweb.org/ontology/degree/academicDegree16
B.Ch.E Bachelor of Chemical Engineering	http://vivoweb.org/ontology/degree/academicDegree15
B.D. Bachelor of Divinity	http://vivoweb.org/ontology/degree/academicDegree17
B.E. Bachelor of Education	http://vivoweb.org/ontology/degree/academicDegree18
B.E. Bachelor of Engineering	http://vivoweb.org/ontology/degree/academicDegree19
B.E.E. Bachelor of Electrical Engineering	http://vivoweb.org/ontology/degree/academicDegree20
B.F. Bachelor of Forestry	http://vivoweb.org/ontology/degree/academicDegree21
B.F.A. Bachelor of Fine Arts	http://vivoweb.org/ontology/degree/academicDegree22
B.J. Bachelor of Journalism	http://vivoweb.org/ontology/degree/academicDegree23
B.L.S. Bachelor of Liberal Studies	http://vivoweb.org/ontology/degree/academicDegree24
B.L.S. Bachelor of Library Science	http://vivoweb.org/ontology/degree/academicDegree25
B.Lit. Bachelor of Literature	http://vivoweb.org/ontology/degree/academicDegree26
B.M. Bachelor of Medicine	http://vivoweb.org/ontology/degree/academicDegree27
B.M. Bachelor of Music	http://vivoweb.org/ontology/degree/academicDegree28
B.M.S. Bachelor of Marine Science	http://vivoweb.org/ontology/degree/academicDegree29
B.N. Bachelor of Nursing	http://vivoweb.org/ontology/degree/academicDegree30
B.N.S. Bachelor of Science in Nursing	http://vivoweb.org/ontology/degree/academicDegree138
B.Pharm. Bachelor of Pharmacy	http://vivoweb.org/ontology/degree/academicDegree31
B.R.E. Bachelor of Religious Education	http://vivoweb.org/ontology/degree/academicDegree32
B.S. Bachelor of Science	http://vivoweb.org/ontology/degree/academicDegree33
B.S.E. Bachelor of Science in Engineering	http://vivoweb.org/ontology/degree/academicDegree120
B.S.Ed. Bachelor of Science in Education	http://vivoweb.org/ontology/degree/academicDegree34
B.S.F.S. Bachelor of Science in Forensic Science	http://vivoweb.org/ontology/degree/academicDegree136
B.S.N. Bachelor of Science in Nursing	http://vivoweb.org/ontology/degree/academicDegree130
B.Sc. Bachelor of Science	http://vivoweb.org/ontology/degree/academicDegree110
B.V.S. Bachelor of Veterinary Science	http://vivoweb.org/ontology/degree/academicDegree128
Biochemistry, Genetics and Molecular Biology(all)	http://vivo.school.edu/individual/sub-45808d46d43b0b80bb6e8731ef0d63b8
C.E. Civil Engineer	http://vivoweb.org/ontology/degree/academicDegree35
Cardiology and Cardiovascular Medicine	http://vivo.school.edu/individual/sub-220485771efd6d31bc191f4bf4f95bd9
Cellular and Molecular Neuroscience	http://vivo.school.edu/individual/sub-1426eaafaf90e18093225b1525de2f25
Ch.E. Chemical Engineer	http://vivoweb.org/ontology/degree/academicDegree36
D.A. Doctor of Arts	http://vivoweb.org/ontology/degree/academicDegree37
D.A.S. Doctor of Applied Science	http://vivoweb.org/ontology/degree/academicDegree38
D.B.A. Doctor of Business Administration	http://vivoweb.org/ontology/degree/academicDegree39
D.C. Doctor of Chiropractic	http://vivoweb.org/ontology/degree/academicDegree40
D.D. Doctor of Divinity	http://vivoweb.org/ontology/degree/academicDegree41
D.D.S. Doctor of Dental Science	http://vivoweb.org/ontology/degree/academicDegree43
D.D.S. Doctor of Dental Surgery	http://vivoweb.org/ontology/degree/academicDegree42
D.Ed. Doctor of Education	http://vivoweb.org/ontology/degree/academicDegree44
D.H.Ed. Doctor of Health Education	http://vivoweb.org/ontology/degree/academicDegree146
D.L.S. Doctor of Library Science	http://vivoweb.org/ontology/degree/academicDegree45
D.M.D. Doctor of Dental Medicine	http://vivoweb.org/ontology/degree/academicDegree46
D.M.S. Doctor of Medical Science	http://vivoweb.org/ontology/degree/academicDegree48
D.M.Sc. Doctor of Medical Science	http://vivoweb.org/ontology/degree/academicDegree125
D.O. Doctor of Osteopathic Medicine	http://vivoweb.org/ontology/degree/academicDegree47
D.P.A. Doctor of Public Administration	http://vivoweb.org/ontology/degree/academicDegree49
D.P.H. Doctor of Public Health	http://vivoweb.org/ontology/degree/academicDegree50
D.P.M. Doctor of Podiatric Medicine	http://vivoweb.org/ontology/degree/academicDegree139
D.Phil. Doctor of Philosophy	http://vivoweb.org/ontology/degree/academicDegree112
D.R.E. Doctor of Religious Education	http://vivoweb.org/ontology/degree/academicDegree51
D.S.W. Doctor of Social Welfare	http://vivoweb.org/ontology/degree/academicDegree52
D.S.W. Doctor of Social Work	http://vivoweb.org/ontology/degree/academicDegree53
D.Sc. Doctor of Science	http://vivoweb.org/ontology/degree/academicDegree54
D.V.M. Doctor of Veterinary Medicine	http://vivoweb.org/ontology/degree/academicDegree55
Developmental Neuroscience	http://vivo.school.edu/individual/sub-cdcf44543af15a06fbfd31e72d9d58e5
Dip.Ed. Diploma of Education	http://vivoweb.org/ontology/degree/academicDegree116
Dr.P.H. Doctor of Public Health	http://vivoweb.org/ontology/degree/academicDegree148
E.E. Electrical Engineer	http://vivoweb.org/ontology/degree/academicDegree58
E.M. Engineer of Mines	http://vivoweb.org/ontology/degree/academicDegree59
E.Met. Engineer of Metallurgy	http://vivoweb.org/ontology/degree/academicDegree60
Ed.D. Doctor of Education	http://vivoweb.org/ontology/degree/academicDegree56
Ed.M Master of Education	http://vivoweb.org/ontology/degree/academicDegree133
Ed.S. Education Specialist	http://vivoweb.org/ontology/degree/academicDegree57
Epidemiology	http://vivo.school.edu/individual/sub-7113ad9cbb67f8eb97d88b179c18ca2f
F.R.C.S. Fellowship of the Royal College of Surgeons	http://vivoweb.org/ontology/degree/academicDegree135
H.S.C. Higher School Certificate	http://vivoweb.org/ontology/degree/academicDegree149
I.E. Industrial Engineer	http://vivoweb.org/ontology/degree/academicDegree61
I.E. Industrial Engineering	http://vivoweb.org/ontology/degree/academicDegree62
Immunology	http://vivo.school.edu/individual/sub-ceb4fd141a731ff6bbb576b0e05b2277
Immunology and Allergy	http://vivo.school.edu/individual/sub-87d6e595f81be15efe8aa39e48bbd94a
J.D. Doctor of Laws	http://vivoweb.org/ontology/degree/academicDegree63
J.S.D. Doctor of Juristic Science	http://vivoweb.org/ontology/degree/academicDegree64
L.H.D. Doctor of Humane Letters	http://vivoweb.org/ontology/degree/academicDegree65
LL.B. Bachelor of Laws	http://vivoweb.org/ontology/degree/academicDegree68
LL.D. Doctor of Laws	http://vivoweb.org/ontology/degree/academicDegree69
LL.M. Master of Laws	http://vivoweb.org/ontology/degree/academicDegree70
Litt.B. Bachelor of Letters	http://vivoweb.org/ontology/degree/academicDegree66
Litt.M. Master of Letters	http://vivoweb.org/ontology/degree/academicDegree67
M.A. Master of Arts	http://vivoweb.org/ontology/degree/academicDegree71
M.Aero.E. Master of Aeronautical Engineering	http://vivoweb.org/ontology/degree/academicDegree72
M.B.A. Master of Business Administration	http://vivoweb.org/ontology/degree/academicDegree73
M.B.E. Master of Business Engineering	http://vivoweb.org/ontology/degree/academicDegree141
M.C.E. Master of Christian Education 	http://vivoweb.org/ontology/degree/academicDegree74
M.C.E. Master of Civil Engineering	http://vivoweb.org/ontology/degree/academicDegree75
M.C.S. Master of Computer Science	http://vivoweb.org/ontology/degree/academicDegree76
M.Ch.E. Master of Chemical Engineering	http://vivoweb.org/ontology/degree/academicDegree140
M.D. Doctor of Medicine	http://vivoweb.org/ontology/degree/academicDegree77
M.Div. Master of Divinity	http://vivoweb.org/ontology/degree/academicDegree78
M.E. Master of Engineering	http://vivoweb.org/ontology/degree/academicDegree79
M.Ed. Master of Education	http://vivoweb.org/ontology/degree/academicDegree80
M.Eng. Master of Engineering	http://vivoweb.org/ontology/degree/academicDegree81
M.F.A. Master of Fine Arts	http://vivoweb.org/ontology/degree/academicDegree82
M.H.A. Master of Hospital Administration	http://vivoweb.org/ontology/degree/academicDegree83
M.H.S. Master of Health Science	http://vivoweb.org/ontology/degree/academicDegree122
