uri	deptid	direct_costs	cois	end_date	title	sponsor_award_id	invs	sponsorid	award_id	pis	start_date	total_award
http://vivo.ufl.edu/individual/n1062114398	16660100	27285.98		2010-08-31T00:00:00	Jean Monnet European Module European Economic Integration Politics and Policy	2007-1389/001-001		GM04068	00066481	20035550	2007-09-01T00:00:00	29196.00
http://vivo.ufl.edu/individual/n1068466353	16660100	15214.87		2008-08-31T00:00:00	Jean Monnet Ad Personam Chair	2005-2799/001-001		GM02848	00056317	64205260	2005-09-01T00:00:00	15214.87
http://vivo.ufl.edu/individual/n1079745828	29110200			2006-06-30T00:00:00	Jak2 Phosphorylation Mapping and Protein Indentification			GM01457		41047560	2004-07-01T00:00:00	49500.00
http://vivo.ufl.edu/individual/n1095904231	60471000	5380.90		2009-09-30T00:00:00	Juvenile Great Egret Feather Collections for Total Mercury Analysis	4500033575		GM02668	00072532	88333490	2009-01-26T00:00:00	6726.13
http://vivo.ufl.edu/individual/n111160870	29080500	45455.00		2014-12-31T00:00:00	Jdrf/Itn Partnership in Immune Tolerance a Consortium Trial for the Reversal of Type 1 Diabetes	FY14703602		GM01626	00092671		2014-01-01T00:00:00	50000.00
http://vivo.ufl.edu/individual/n1133439365	60100000	10151.00		2010-12-31T00:00:00	Jdrf-Bri Center for Translational Research; Repertoire Analysis of T Cells in Tid	FY11.545.002		GM01626	00080279	84177170	2010-01-01T00:00:00	11166.00
http://vivo.ufl.edu/individual/n1161727650	31000000	10000.00		2014-07-15T00:00:00	Jonas Scholars Program			GM0005542	00084973	85587170	2012-07-16T00:00:00	10000.00
http://vivo.ufl.edu/individual/n1237919831	19020000	28707.00		2010-01-08T00:00:00	Journey Fluoroscopic Study	070917-SN-BANKS		GM02759	00065856	38325421	2007-07-01T00:00:00	39784.00
http://vivo.ufl.edu/individual/n1274810144	16121100			2005-05-15T00:00:00	Joint Research on Emulsifiers			GM03453		91738740	2005-01-15T00:00:00	19000.00
http://vivo.ufl.edu/individual/n1320100513	16220000	939822.81		2013-09-30T00:00:00	Joint University Partnership: Btrp-GIS Continued Integration and Expansion of GIS and Spatial Epidemiology	798172-873Y		GM02391	00078890	64285949	2010-07-04T00:00:00	1403706.50
http://vivo.ufl.edu/individual/n1326286630	16640100			2008-06-30T00:00:00	Japan Foundation Staff Expansion	17E-K5001		GM03962		87130820	2006-08-15T00:00:00	31745.00
http://vivo.ufl.edu/individual/n1377736282	60471000	5380.90		2011-09-30T00:00:00	Juvenile Great Egret Feather Collections for Total Mercury Analysis	4500054854		GM02668	00080166	88333490	2010-11-10T00:00:00	6726.13
http://vivo.ufl.edu/individual/n1419205280	30090000	12000.00		2010-10-31T00:00:00	Jacksonville Card Doe Regional Trainings	0000152874		GM02939	00076447	26386921	2009-09-01T00:00:00	12600.00
http://vivo.ufl.edu/individual/n1429484538	29170300	2000.00		2009-06-30T00:00:00	Jbjs Resident Journal Club	08-172		GM01697	00073010	08444740	2008-09-01T00:00:00	2000.00
http://vivo.ufl.edu/individual/n1431451619	18250100			2005-03-31T00:00:00	Journal of the Professoriate			GM03434		99581160	2005-02-01T00:00:00	1000.00
http://vivo.ufl.edu/individual/n1639476567	55140300	7673.00		2011-04-30T00:00:00	Jacksonville Health Literacy Outreach Project	Outreach		GM02441	00076555	11350963	2009-09-01T00:00:00	7673.00
http://vivo.ufl.edu/individual/n1715648433	16640100	34184.00		2011-06-30T00:00:00	Japan Foundation Staff Expansion	22SE-K5015		GM03962	00079147	87130820	2010-08-15T00:00:00	34184.00
