uri	name	issn	eissn	
	AACN Clinical Issues	1079-0713		
	AAOHN Journal	0891-0162		
	AAPS Journal	1550-7416		
	ACM Transactions on Reconfigurable Technology and Systems	1936-7406	1936-7414	
	ACS Applied Materials and Interfaces	1944-8244	1944-8252	
	ACS Macro Letters	2161-1653		
	ACS Nano	1936-0851	1936-086X	
	AIDS Education and Prevention	0899-9546	1943-2755	
	AIDS Patient Care and STDs	1087-2914	1557-7449	
	AIDS and Behavior	1090-7165	1573-3254	
	AMIA ... Annual Symposium proceedings / AMIA Symposium. AMIA Symposium	1942-597X		
	ASCE Journal of Engineering Mechanics	0733-9399	1943-7889	
	ASCE Journal of Environmental Engineering	0733-9372	1943-7870	
	ASCE Journal of the Performance of Constructed Facilities	0887-3828	1943-5509	
	Aaps Pharmscitech	1530-9932		
	Aatcc Review	1532-8813		
	Abdominal Imaging	0942-8925	1432-0509	
	Abstracts of Papers of the American Chemical Society	0065-7727		
	Academic Emergency Medicine	1069-6563	1553-2712	
	Academic Medicine	1040-2446	1938-808X	
	Academic Pediatrics	1876-2859	1876-2867	
	Academic Psychiatry	1042-9670	1545-7230	
	Academic Radiology	1076-6332	1878-4046	
	Academy of Management Journal	Jan-73		
	Academy of Management Learning and Education	1537-260X	1944-9585	
	Academy of Management Perspectives	1558-9080	1943-4529	
	Accident Analysis and Prevention	Jan-75	1879-2075	
	Accountability in Research-Policies and Quality Assurance	0898-9621		
	Accounting Horizons	0888-7993	1558-7975	
	Accounting Organizations and Society	0361-3682	1873-6289	
	Accounting Review	Jan-26	1558-7967	
	Accounts of Chemical Research	Jan-42	1520-4898	
	Aci Materials Journal	0889-325X		
	Aci Structural Journal	0889-3241		
	Acm Computing Surveys	0360-0300		
	Acm Journal On Emerging Technologies in Computing Systems	1550-4832	1550-4840	
	Acm Sigplan Notices	0362-1340		
	Acm Transactions On Architecture and Code Optimization	1544-3566		
	Acm Transactions On Database Systems	0362-5915	1557-4644	
	Acm Transactions On Design Automation of Electronic Systems	1084-4309	1557-7309	
	Acm Transactions On Embedded Computing Systems	1539-9087	1558-3465	
	Acm Transactions On Graphics	0730-0301	1557-7368	
	Acm Transactions On Knowledge Discovery From Data	1556-4681	1556-472X	
	Acm Transactions On Mathematical Software	0098-3500	1557-7295	
	Acm Transactions On Modeling and Computer Simulation	1049-3301	1558-1195	
	Acm Transactions On Multimedia Computing Communications and Applications	1551-6857		
	Acm Transactions On Sensor Networks	1550-4859	1550-4867	
	Acs Catalysis	2155-5435		
	Acs Chemical Biology	1554-8929	1554-8937	
	Acs Chemical Neuroscience	1948-7193		
	Acs Medicinal Chemistry Letters	1948-5875		
	Acsms Health and Fitness Journal	1091-5397	1536-593X	
	Acta Agriculturae Scandinavica Section B-Soil and Plant Science	0906-4710	1651-1913	
	Acta Anaesthesiologica Scandinavica	Jan-72	1399-6576	
	Acta Anatomica	Jan-80		
	Acta Arithmetica	0065-1036		
	Acta Astronautica	0094-5765		
	Acta Biologica Hungarica	0236-5383	1588-256X	
	Acta Biomaterialia	1742-7061	1878-7568	
	Acta Biotheoretica	Jan-42	1572-8358	
	Acta Botanica Brasilica	0102-3306	1677-941X	
	Acta Cardiologica	Jan-85	1784-973X	
	Acta Carsologica	0583-6050		
	Acta Chiropterologica	1508-1109		
	Acta Clinica Belgica	Jan-12		
	Acta Crystallographica Section B-Structural Science	0108-7681	1600-5740	
	Acta Crystallographica Section D-Biological Crystallography	0907-4449	1399-0047	
	Acta Crystallographica Section E-Structure Reports Online	1600-5368		
	Acta Crystallographica. Section C	 Crystal Structure Communications	0108-2701	1600-5759
	Acta Crystallographica. Section F	" Structural Biology and Crystallization Communications"""	1744-3091	
	Acta Cytologica	Jan-47	1938-2650	
	Acta Diabetologica	0940-5429		
	Acta Geotechnica	1861-1125		
	Acta Hepato-Gastroenterologica	0300-970X		
	Acta Materialia	1359-6454	1873-2453	
	Acta Mathematica Hungarica	0236-5294		
	Acta Mathematica Sinica-English Series	1439-8516	1439-7617	
	Acta Mechanica Sinica	0567-7718	1614-3116	
	Acta Mechanica Solida Sinica	0894-9166	1860-2134	
	Acta Metallurgica Sinica	0412-1961		
	Acta Neurobiologiae Experimentalis	0065-1400	1689-0035	
	Acta Neurochirurgica	Jan-68	0942-0940	
	Acta Neuropathologica	Jan-22	1432-0533	
	Acta Obstetricia Et Gynecologica Scandinavica	Jan-49	1600-0412	
	Acta Odontologica Scandinavica	Jan-57	1502-3850	
	Acta Oecologica-International Journal of Ecology	1146-609X	1873-6238	
	Acta Oncologica	0284-186X	1651-226X	
	Acta Ophthalmologica	1755-375X	1755-3768	
	Acta Orthopaedica Belgica	Jan-62		
	Acta Paediatrica	0803-5253	1651-2227	
	Acta Paediatrica Taiwanica	1608-8115		
	Acta Pharmacologica Sinica	1671-4083	1745-7254	
	Acta Physica Polonica B	0587-4254	1509-5770	
	Acta Physica Polonica a	0587-4246	1898-794X	
	Acta Physico-Chimica Sinica	1872-1508		
	Acta Physiologiae Plantarum	0137-5881	1861-1664	
	Acta Physiologica	1748-1708	1748-1716	
	Acta Psychiatrica Scandinavica	0001-690X	1600-0447	
	Acta Radiologica	0284-1851		
	Acta Scientiarum-Agronomy	1807-8621		
	Acta Theriologica	Jan-51	2190-3743	
	Acta Tropica	0001-706X	1873-6254	
	Acupuncture in Medicine	0964-5284		
	Ad Hoc Networks	1570-8705	1570-8713	
	Ad Hoc and Sensor Wireless Networks	1551-9899	1552-0633	
	Adaptation-the Journal of Literature On Screen Studies	1755-0637	1755-0645	
	Adapted Physical Activity Quarterly	0736-5829	1543-2777	
	Addiction	0965-2140	1360-0443	
	Addiction Biology	1369-1600		
	Addiction Biology	1355-6215	1369-1600	
	Addiction Research and Theory	1606-6359	1476-7392	
	Addictive Behaviors	0306-4603	1873-6327	
	Administration and Society	0095-3997		
	Administrative Law Review	Jan-68		
	Administrative Science Quarterly	Jan-92	1930-3815	
	Adolescence	Jan-49		
	Adsorption Science and Technology	0263-6174	2048-4038	
	Advanced Drug Delivery Reviews	0169-409X	1872-8294	
	Advanced Energy Materials	1614-6832		
	Advanced Engineering Informatics	1474-0346	1873-5320	
	Advanced Engineering Materials	1438-1656		
	Advanced Functional Materials	1616-301X	1616-3028	
	Advanced Materials	0935-9648	1521-4095	
	Advanced Optical Materials	2195-1071		
	Advanced Powder Technology	0921-8831		
	Advanced Robotics	0169-1864		
	Advanced Steel Construction	1816-112X		
	Advanced Structural Engineering	1369-4332	2048-4011	
	Advanced Synthesis and Catalysis	1615-4150	1615-4169	
	Advances in Anatomic Pathology	1072-4109	1533-4031	
	Advances in Applied Ceramics	1743-6753		
	Advances in Applied Mathematics	0196-8858	1090-2074	
	"Advances in Biochemical Engineering	 Biotechnology"	0724-6145	1616-8542	
	Advances in Civil Engineering	1687-8086	1687-8094	
	Advances in Clinical and Experimental Medicine	1899-5276		
	Advances in Computational Mathematics	1019-7168	1572-9044	
	Advances in Condensed Matter Physics	1687-8108		
	Advances in Dental Research	0895-9374	1544-0737	
	Advances in Enzyme Regulation	0065-2571		
	Advances in Ethology	0931-4202	1439-0310	
	Advances in Experimental Medicine and Biology	0065-2598		
	Advances in Health Sciences Education: Theory and Practice	1382-4996	1573-1677	
	Advances in Mathematics	Jan-08	1090-2082	
	Advances in Neonatal Care	1536-0903	1536-0911	
	Advances in Nursing Science	0161-9268	1550-5014	
	Advances in Nutrition	2161-8313		
	Advances in Physiology Education	1043-4046	1522-1229	
	Advances in Skin and Wound Care	1527-7941	1538-8654	
	Advances in Space Research	0273-1177	1879-1948	
	Advances in Surgery	0065-3411	1878-0555	
	Advances in Therapy	0741-238X	1865-8652	
	Advances in Water Resources	0309-1708	1872-9657	
	Aeolian Research	1875-9637		
	Aerobiologia	0393-5965	1573-3025	
	Aeronautical Journal	Jan-40		
	Aerosol Science and Technology	0278-6826	1521-7388	
	Aerosol and Air Quality Research	1680-8584	2071-1409	
	Aerospace Science and Technology	1270-9638	1626-3219	
	Aesthetic Plastic Surgery	0364-216X	1432-5241	
	Aeu-International Journal of Electronics and Communications	1434-8411		
	Africa	Jan-20	1750-0184	
	Africa Journal of Nursing and Midwifery	1682-5055		
	Africa Spectrum	0002-0397		
	African Affairs	Jan-09	1468-2621	
	African American Review	1062-4783		
	African Archaeological Review	0263-0338	1572-9842	
	African Arts	Jan-33	1937-2108	
	African Development Review-Revue Africaine De Developpement	1017-6772		
	African Entomology	1021-3589	2224-8854	
	African Journal of Agricultural Research	1991-637X		
	African Journal of Aquatic Science	1608-5914	1727-9364	
	African Journal of Biotechnology	1684-5315		
	African Journal of Ecology	0141-6707	1365-2028	
	African Journal of Microbiology Research	1996-0808		
	African Journal of Range and Forage Science	1022-0119		
	African Studies	0002-0184		
	African Studies Review	0002-0206	1555-2462	
	Age	0161-9152	1574-4647	
	Age and Ageing	0002-0729	1468-2834	
	Ageing Research Reviews	1568-1637	1872-9649	
	Ageing and Society	0144-686X		
	Aggression and Violent Behavior	1359-1789	1873-6335	
	Aggressive Behavior	0096-140X	1098-2337	
	Aging	1945-4589		
	Aging & Mental Health	1360-7863	1364-6915	
	Aging Cell	1474-9718	1474-9726	
	Aging Clinical and Experimental Research	1594-0667	1720-8319	
	Agribusiness	0742-4477	1520-6297	
	Agricultural Economics	0169-5150	1574-0862	
	Agricultural History	0002-1482	1533-8290	
	Agricultural Systems	0308-521X	1873-2267	
	Agricultural Water Management	0378-3774	1873-2283	
	Agricultural and Forest Entomology	1461-9555	1461-9563	
	Agricultural and Forest Meteorology	0168-1923	1873-2240	
	Agriculture Ecosystems and Environment	0167-8809	1873-2305	
	Agriculture and Human Values	0889-048X	1572-8366	
	Agro Food Industry Hi-Tech	1722-6996	2035-4606	
	Agrochimica	0002-1857		
	Agrociencia	1405-3195		
	Agroforestry Systems	0167-4366	1572-9680	
	Agronomy Journal	Feb-62	1435-0645	
	Agronomy for Sustainable Development	1774-0746	1773-0155	
	Aiaa Journal	0001-1452	1533-385X	
	Aiche Journal	0001-1541		
	Aids	0269-9370	1473-5571	
	Aids Research and Human Retroviruses	0889-2229	1931-8405	
	Aids Research and Therapy	1742-6405		
	Aids Reviews	1139-6121	1698-6997	
	Aip Advances	2158-3226		
	Air Medical Journal	1067-991X	1532-6497	
	Air Quality Atmosphere and Health	1873-9318		
	Ajar-African Journal of Aids Research	1608-5906	1727-9445	
	Ajs Review-the Journal of the Association for Jewish Studies	0364-0094	1475-4541	
	Al-Masaq-Islam and the Medieval Mediterranean	0950-3110		
	Alcohol	0741-8329	1873-6823	
	Alcohol Research and Health	1535-7414	1930-0573	
	Alcohol and Alcoholism	0735-0414	1464-3502	
	Alcoholism: Clinical and Experimental Research	0145-6008	1530-0277	
	Aldrichimica Acta	Feb-00		
	Algae	1226-2617		
	Algebra Universalis	Feb-40	1420-8911	
	Algebraic and Geometric Topology	1472-2739		
	Algebraic and Geometric Topology	1472-2747	1472-2739	
	Algorithmica	0178-4617	1432-0541	
	Algorithms for Molecular Biology	1748-7188		
	Alimentary Pharmacology & Therapeutics	0269-2813	1365-2036	
	Allelopathy Journal	0971-4693	0974-1240	
	Allergy	0105-4538	1398-9995	
	Allergy and Asthma Proceedings	1088-5412	1539-6304	
	Alternative Medicine Review	1089-5159		
	Alternative Therapies in Health and Medicine	1078-6791		
	Alzheimer's & Dementia	1552-5260	1552-5279	
	Alzheimers Disease & Associated Disorders	0893-0341	1546-4156	
	Alzheimer’s Research and Therapy	1758-9193		
	Ambio	0044-7447	1654-7209	
	Ambulatory Pediatrics	1530-1567		
	American Annals of the Deaf	0002-726X	1543-0375	
	American Anthropologist	Feb-94	1548-1433	
	American Antiquity	Feb-16		
	American Association for Laboratory Animal Science Bulletin	1056-1471		
	American Bankruptcy Law Journal	0027-9048		
	American Bee Journal	Feb-26		
	American Behavioral Scientist	Feb-42	1552-3381	
	American Biology Teacher	Feb-85	1938-4211	
	American Book Review	0149-9408	2153-4578	
	American Business Law Journal	Feb-66	1744-1714	
	American Ceramic Society Bulletin	Feb-12	1945-2705	
	American Chemical Society Division of Environmental Chemistry	0093-3066		
	American Economic Journal-Microeconomics	1945-7669	1945-7685	
	American Educational Research Journal	Feb-12	1935-1011	
	American Entomologist	1046-2821	2155-9902	
	American Ethnologist	0094-0496	1548-1425	
	American Family Physician	0002-838X	1532-0650	
	American Fern Journal	Feb-44	1938-422X	
	American Heart Journal	Feb-03	1097-6744	
	American Historical Review	Feb-62	1937-5239	
	American Imago	0065-860X	1085-7931	
	American Indian Culture and Research Journal	0161-6463		
	American Jewish History	0164-0178	1086-3141	
	American Journal of Agricultural Economics	Feb-92	1467-8276	
	American Journal of Alternative Agriculture	0889-1893	1478-5498	
	American Journal of Alzheimers Disease and Other Dementias	1533-3175	1938-2731	
	American Journal of Archaeology	Feb-14	1939-828X	
