name	within	uri	long	lat	types
Afghanistan		http://aims.fao.org/aos/geopolitical.owl#Afghanistan			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Africa		http://aims.fao.org/aos/geopolitical.owl#Africa			loc;group;area;region;continent;thing;bfo141;bfo1;bfo2;geo;bfo4;georegion;bfo6
Albania		http://aims.fao.org/aos/geopolitical.owl#Albania			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Algeria		http://aims.fao.org/aos/geopolitical.owl#Algeria			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
American Samoa		http://aims.fao.org/aos/geopolitical.owl#American_Samoa			loc;territory;area;region;nonself;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Americas		http://aims.fao.org/aos/geopolitical.owl#Americas			loc;group;area;region;thing;bfo141;bfo1;bfo2;geo;bfo4;georegion;bfo6
Andorra		http://aims.fao.org/aos/geopolitical.owl#Andorra			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Angola		http://aims.fao.org/aos/geopolitical.owl#Angola			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Anguilla		http://aims.fao.org/aos/geopolitical.owl#Anguilla			loc;territory;area;region;nonself;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Antarctica		http://aims.fao.org/aos/geopolitical.owl#Antarctica			loc;territory;area;region;bfo4;thing;geopol;bfo141;bfo1;bfo2;geo;continent;bfo6
Antigua and Barbuda		http://aims.fao.org/aos/geopolitical.owl#Antigua_and_Barbuda			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Argentina		http://aims.fao.org/aos/geopolitical.owl#Argentina			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Armenia		http://aims.fao.org/aos/geopolitical.owl#Armenia			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Aruba		http://aims.fao.org/aos/geopolitical.owl#Aruba			loc;territory;area;region;nonself;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Asia		http://aims.fao.org/aos/geopolitical.owl#Asia			loc;group;area;region;continent;thing;bfo141;bfo1;bfo2;geo;bfo4;georegion;bfo6
Australia		http://aims.fao.org/aos/geopolitical.owl#Australia			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Australia and New Zealand		http://aims.fao.org/aos/geopolitical.owl#Australia_and_New_Zealand			loc;group;area;region;continent;thing;bfo141;bfo1;bfo2;geo;bfo4;georegion;bfo6
Austria		http://aims.fao.org/aos/geopolitical.owl#Austria			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Azerbaijan		http://aims.fao.org/aos/geopolitical.owl#Azerbaijan			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Bahamas		http://aims.fao.org/aos/geopolitical.owl#Bahamas_the			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Bahrain		http://aims.fao.org/aos/geopolitical.owl#Bahrain			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Bangladesh		http://aims.fao.org/aos/geopolitical.owl#Bangladesh			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Barbados		http://aims.fao.org/aos/geopolitical.owl#Barbados			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Belarus		http://aims.fao.org/aos/geopolitical.owl#Belarus			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Belgium		http://aims.fao.org/aos/geopolitical.owl#Belgium			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Belize		http://aims.fao.org/aos/geopolitical.owl#Belize			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
