short	vivo
bfo1	http://purl.obolibrary.org/obo/BFO_0000001
bfo2	http://purl.obolibrary.org/obo/BFO_0000002
bfo4	http://purl.obolibrary.org/obo/BFO_0000004
bfo6	http://purl.obolibrary.org/obo/BFO_0000006
bfo141	http://purl.obolibrary.org/obo/BFO_0000141
geo	http://vivoweb.org/ontology/core#GeographicLocation
loc	http://vivoweb.org/ontology/core#Location
thing	http://www.w3.org/2002/07/owl#Thing
site	http://purl.obolibrary.org/obo/BFO_0000029
fac	http://vivoweb.org/ontology/core#Facility
building	http://vivoweb.org/ontology/core#Building
group	http://aims.fao.org/aos/geopolitical.owl#group
region	http://vivoweb.org/ontology/core#GeographicRegion
geopol	http://vivoweb.org/ontology/core#GeopoliticalEntity
city	http://vivoweb.org/ontology/core#PopulatedPlace
area	http://aims.fao.org/aos/geopolitical.owl#area
territory	http://aims.fao.org/aos/geopolitical.owl#territory
self	http://aims.fao.org/aos/geopolitical.owl#self_governing
country	http://vivoweb.org/ontology/core#Country
county	http://vivoweb.org/ontology/core#County
state	http://vivoweb.org/ontology/core#StateOrProvince
transnational	http://vivoweb.org/ontology/core#TransnationalRegion
nonself	http://aims.fao.org/aos/geopolitical.owl#non_self_governing
georegion	http://aims.fao.org/aos/geopolitical.owl#geographical_region
campus	http://vivoweb.org/ontology/core#Campus
continent	http://vivoweb.org/ontology/core#Continent
