uri	name	types	within	lat	long
http://aims.fao.org/aos/geopolitical.owl#Afghanistan	Afghanistan	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Africa	Africa	loc;http://aims.fao.org/aos/geopolitical.owl#group;area;region;continent;thing;bfo141;bfo1;bfo2;geo;bfo4;georegion;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Albania	Albania	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Algeria	Algeria	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#American_Samoa	American Samoa	loc;territory;area;region;nonself;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Americas	Americas	loc;http://aims.fao.org/aos/geopolitical.owl#group;area;region;thing;bfo141;bfo1;bfo2;geo;bfo4;georegion;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Andorra	Andorra	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Angola	Angola	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Anguilla	Anguilla	loc;territory;area;region;nonself;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Antarctica	Antarctica	loc;territory;area;region;bfo4;thing;geopol;bfo141;bfo1;http://aims.fao.org/aos/geopolitical.owl#other;bfo2;geo;continent;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Antigua_and_Barbuda	Antigua and Barbuda	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Argentina	Argentina	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Armenia	Armenia	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Aruba	Aruba	loc;territory;area;region;nonself;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Asia	Asia	loc;http://aims.fao.org/aos/geopolitical.owl#group;area;region;continent;thing;bfo141;bfo1;bfo2;geo;bfo4;georegion;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Australia	Australia	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Australia_and_New_Zealand	Australia and New Zealand	loc;http://aims.fao.org/aos/geopolitical.owl#group;area;region;continent;thing;bfo141;bfo1;bfo2;geo;bfo4;georegion;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Austria	Austria	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Azerbaijan	Azerbaijan	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Bahamas_the	Bahamas	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Bahrain	Bahrain	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Bangladesh	Bangladesh	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Barbados	Barbados	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Belarus	Belarus	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Belgium	Belgium	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Belize	Belize	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Benin	Benin	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Bermuda	Bermuda	loc;territory;area;region;nonself;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Bhutan	Bhutan	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Bolivia	Bolivia (Plurinational State of)	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Bonaire_Sint_Eustatius_and_Saba	Bonaire, Sint Eustatius and Saba  	loc;territory;area;region;nonself;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Bosnia_and_Herzegovina	Bosnia and Herzegovina	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Botswana	Botswana	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Brazil	Brazil	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#British_Virgin_Islands	British Virgin Islands	loc;territory;area;region;nonself;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Brunei_Darussalam	Brunei Darussalam	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Bulgaria	Bulgaria	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
