short	vivo
District of Columbia	http://vivo.school.edu/individual/n4010
Puerto Rico	http://vivo.school.edu/individual/n3049
Ohio	http://dbpedia.org/resource/Ohio
Iowa	http://dbpedia.org/resource/Iowa
Virginia	http://dbpedia.org/resource/Virginia
Maryland	http://dbpedia.org/resource/Maryland
Wisconsin	http://dbpedia.org/resource/Wisconsin
Alaska	http://dbpedia.org/resource/Alaska
Massachusetts	http://dbpedia.org/resource/Massachusetts
Rhode Island	http://dbpedia.org/resource/Rhode_Island
Missouri	http://dbpedia.org/resource/Missouri
Washington	http://dbpedia.org/resource/Washington
Idaho	http://dbpedia.org/resource/Idaho
New Jersey	http://dbpedia.org/resource/New_Jersey
West Virginia	http://dbpedia.org/resource/West_Virginia
North Dakota	http://dbpedia.org/resource/North_Dakota
Texas	http://dbpedia.org/resource/Texas
Indiana	http://dbpedia.org/resource/Indiana
Georgia	http://dbpedia.org/resource/Georgia
Vermont	http://dbpedia.org/resource/Vermont
Delaware	http://dbpedia.org/resource/Delaware
Kansas	http://dbpedia.org/resource/Kansas
Oregon	http://dbpedia.org/resource/Oregon
Tennessee	http://dbpedia.org/resource/Tennessee
Louisiana	http://dbpedia.org/resource/Louisiana
Mississippi	http://dbpedia.org/resource/Mississipi
Nevada	http://dbpedia.org/resource/Nevada
New Mexico	http://dbpedia.org/resource/New_Mexico
New York	http://dbpedia.org/resource/New_York
Connecticut	http://dbpedia.org/resource/Connecticut
Montana	http://dbpedia.org/resource/Montana
South Carolina	http://dbpedia.org/resource/South_Carolina
North Carolina	http://dbpedia.org/resource/North_Carolina
Arizona	http://dbpedia.org/resource/Arizona
South Dakota	http://dbpedia.org/resource/South_Dakota
Hawaii	http://dbpedia.org/resource/Hawaii
Wyoming	http://dbpedia.org/resource/Wyoming
Alabama	http://dbpedia.org/resource/Alabama
Pennsylvania	http://dbpedia.org/resource/Pennsylvania
Michigan	http://dbpedia.org/resource/Michigan
California	http://dbpedia.org/resource/California
Maine	http://dbpedia.org/resource/Maine
New Hampshire	http://dbpedia.org/resource/New_Hampshire
Utah	http://dbpedia.org/resource/Utah
Illinois	http://dbpedia.org/resource/Illinois
Colorado	http://dbpedia.org/resource/Colorado
Nebraska	http://dbpedia.org/resource/Nebraska
Arkansas	http://dbpedia.org/resource/Arkansas
Minnesota	http://dbpedia.org/resource/Minnesota
Florida	http://dbpedia.org/resource/Florida
Oklahoma	http://dbpedia.org/resource/Oklahoma
Kentucky	http://dbpedia.org/resource/Kentucky
