short	vivo
1970-01-01T00:0	http://vivo.school.edu/individual/n2408624411
1971-01-01T00:0	http://vivo.school.edu/individual/n7678001268
1972-01-01T00:0	http://vivo.school.edu/individual/n3581282795
1973-01-01T00:0	http://vivo.school.edu/individual/n6068393268
1974-01-01T00:0	http://vivo.school.edu/individual/n8456472303
1975-01-01T00:0	http://vivo.school.edu/individual/n3760
1975-01-01T00:0	http://vivo.school.edu/individual/n2483891673
1976-01-01T00:0	http://vivo.school.edu/individual/n6928904708
1977-01-01T00:0	http://vivo.school.edu/individual/n2165090307
1978-01-01T00:0	http://vivo.school.edu/individual/n8053278593
1979-01-01T00:0	http://vivo.school.edu/individual/n1775121007
1980-01-01T00:0	http://vivo.school.edu/individual/n7242
1980-01-01T00:0	http://vivo.school.edu/individual/n7225407119
1981-01-01T00:0	http://vivo.school.edu/individual/n7011697706
1982-01-01T00:0	http://vivo.school.edu/individual/n5973
1982-01-01T00:0	http://vivo.school.edu/individual/n8531308868
1983-01-01T00:0	http://vivo.school.edu/individual/n287633224
1984-01-01T00:0	http://vivo.school.edu/individual/n3186514914
1985-01-01T00:0	http://vivo.school.edu/individual/n1342954600
1986-01-01T00:0	http://vivo.school.edu/individual/doc-670160e0d6ea2842d46f719edd5854bd-date
1986-01-01T00:0	http://vivo.school.edu/individual/n6852989284
1987-01-01T00:0	http://vivo.school.edu/individual/n3457993306
1988-01-01T00:0	http://vivo.school.edu/individual/doc-6effb6dbc914f6ec9fca6d9f005437e2-date
1988-01-01T00:0	http://vivo.school.edu/individual/doc-810bf75148b4175e0ee2d11cf6d3b5b2-date
1988-01-01T00:0	http://vivo.school.edu/individual/doc-82f6f4a1803cd681a448ca2cecb44909-date
1988-01-01T00:0	http://vivo.school.edu/individual/doc-d5eac6bbc50bdc87b84dcd5c3870e94b-date
1988-01-01T00:0	http://vivo.school.edu/individual/n2525422406
1989-01-01T00:0	http://vivo.school.edu/individual/doc-fe188491ca615200ce7521c3f554e123-date
1989-01-01T00:0	http://vivo.school.edu/individual/n5980117548
1990-01-01T00:0	http://vivo.school.edu/individual/doc-20f2044fa5895571b4ed89060075267f-date
1990-01-01T00:0	http://vivo.school.edu/individual/doc-2396b53dc727e057f16307c9ea91c5fc-date
1990-01-01T00:0	http://vivo.school.edu/individual/doc-55c1c2c49914c3dce135815e073e529b-date
1990-01-01T00:0	http://vivo.school.edu/individual/doc-5c38b52f9eb6326bdd4536eb9f70bcda-date
1990-01-01T00:0	http://vivo.school.edu/individual/doc-c96bf7ad5b16050312918ccf2f3b61c8-date
1990-01-01T00:0	http://vivo.school.edu/individual/n5708513638
1991-01-01T00:0	http://vivo.school.edu/individual/n3511952188
1992-01-01T00:0	http://vivo.school.edu/individual/doc-252bbe96dea311f0fa3b129c1760b5ee-date
1992-01-01T00:0	http://vivo.school.edu/individual/doc-264de4fe861a6314b83130beca39839c-date
1992-01-01T00:0	http://vivo.school.edu/individual/n7163911840
1993-01-01T00:0	http://vivo.school.edu/individual/doc-31698f873f50fad7da4156a0172bad37-date
1993-01-01T00:0	http://vivo.school.edu/individual/doc-55f6b19897b3ac7f5ccd45568020cb9b-date
1993-01-01T00:0	http://vivo.school.edu/individual/doc-8aeb27adb7e517e2d998dbb82d7c14b0-date
1993-01-01T00:0	http://vivo.school.edu/individual/doc-fe029f0554997e7a2bbfda5a3b19200a-date
