city	fax	name	zip	home_page	country	within	uri	abbreviation	phone	state	overview	type	email	street_address	successor
		Academic Technology					http://vivo.school.edu/individual/n2596					uf;thing;agent;department;bfo1;org;bfo2;bfo4			
		Acorn Cardiovascular Inc					http://vivo.school.edu/individual/8015313782					fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4			
		Advanced Technology Labs Inc					http://vivo.school.edu/individual/5874327687					fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4			
		Advanced Tissue Sciences					http://vivo.school.edu/individual/8679496269					fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4			
		Amer Bioscience Inc					http://vivo.school.edu/individual/2768065116					fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4			
		Avax America Inc					http://vivo.school.edu/individual/3369154919					fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4			
		Bucknell University		http://bucknell.edu			http://vivo.school.edu/individual/n715					university;agent;thing;bfo1;org;bfo2;bfo4			
		Burroughs Wellcome Company					http://vivo.school.edu/individual/3066270733					fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4			
		Burroughs Wellcome Fund					http://vivo.school.edu/individual/8720619787					foundation;fundingorganization;agent;thing;bfo1;org;bfo2;bfo4			
		Center for Instructional and Research Computing Activities					http://vivo.school.edu/individual/n2232	CIRCA				uf;center;agent;thing;bfo1;org;bfo2;bfo4			Academic Technology
		Cetus Oncology Corp					http://vivo.school.edu/individual/3094034736					fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4			
Gainesville		Chemistry					http://vivo.school.edu/individual/n4145					uf;thing;agent;department;academicdepartment;bfo1;org;bfo2;bfo4			
		Clinical and Translational Science Institute		http://ctsi.ufl.edu			http://vivo.school.edu/individual/n6310	CTSI				uf;institute;agent;thing;bfo1;org;bfo2;bfo4			
		College of Liberal Arts and Sciences					http://vivo.school.edu/individual/n721					uf;agent;thing;college;bfo1;org;bfo2;bfo4	info@ctsi.ufl.edu		
		Concepts in Pharm Research Inc					http://vivo.school.edu/individual/5226631481					fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4			
		Duraspace					http://vivo.school.edu/individual/n1311				"DuraSpace is an independent 501(c)(3) not-for-profit organization providing leadership and innovation for open technologies that promote durable, persistent access to digital data. We collaborate with academic, scientific, cultural, and technology communities by supporting projects and creating services to help ensure that current and future generations have access to our collective digital heritage."	company;agent;thing;bfo1;org;bfo2;bfo4			file:///var/lib/tomcat7/Lyrasis
		Exponent Environmental Group					http://vivo.school.edu/individual/793961448					fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4			
		Fabre Kramer Pharmaceuticals					http://vivo.school.edu/individual/8202429111					fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4			
		Framatome Technologies Inc					http://vivo.school.edu/individual/3963516916					fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4			
		Galileo Laboratories Inc					http://vivo.school.edu/individual/3805257004					fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4			
		Glaxo Smithkline					http://vivo.school.edu/individual/3293325926					fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4			
		Harvard University					http://vivo.school.edu/individual/n7130					university;agent;thing;bfo1;org;bfo2;bfo4			
		Itt Industries Inc					http://vivo.school.edu/individual/1740510435					fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4			
		National Institutes of Health					http://vivo.school.edu/individual/n2770					governmentagency;fundingorganization;researchorganization;agent;thing;bfo1;org;bfo2;bfo4			
		Nature Publishing Group					http://vivo.school.edu/individual/n4584					publisher;agent;thing;bfo1;org;bfo2;bfo4			
		Novazyme Pharmaceuticals Inc					http://vivo.school.edu/individual/5985039965					fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4			
		Optometrix Inc					http://vivo.school.edu/individual/8084707766					fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4			
		Oxford University Press					http://vivo.school.edu/individual/n5230					publisher;agent;thing;bfo1;org;bfo2;bfo4			
		Phormax Corporation					http://vivo.school.edu/individual/1711215368					fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4			
		Physics					http://vivo.school.edu/individual/n934389325					uf;thing;agent;department;academicdepartment;bfo1;org;bfo2;bfo4			
		Seaspace Corporation					http://vivo.school.edu/individual/9231791860					fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4			
		Sepracor Inc					http://vivo.school.edu/individual/5927175557					fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4			
		Springer					http://vivo.school.edu/individual/n1047					publisher;agent;thing;bfo1;org;bfo2;bfo4			
		Titan Pharmaceuticals Inc					http://vivo.school.edu/individual/4238702950					fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4			
Gainesville		University of Florida		http://www.ufl.edu			http://vivo.school.edu/individual/n8013					uf;university;agent;thing;bfo1;org;bfo2;bfo4			
		VIVO Project					http://vivo.school.edu/individual/n7580					agent;thing;program;bfo1;org;bfo2;bfo4			
		Visteon Corp					http://vivo.school.edu/individual/2296164111					fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4			
		Wrs Infrastructure & Env					http://vivo.school.edu/individual/7424661856					fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4			
