vivo	short	count
http://xmlns.com/foaf/0.1/Person	person	177449
http://purl.obolibrary.org/obo/BFO_0000002	bfo2	177449
http://purl.obolibrary.org/obo/BFO_0000001	bfo1	177449
http://purl.obolibrary.org/obo/BFO_0000004	bfo4	117449
http://www.w3.org/2002/07/owl#Thing	thing	165859
http://xmlns.com/foaf/0.1/Agent	agent	151934
http://vivo.school.edu/ontology/uf-extension#UFEntity	uf	56535
http://vivo.school.edu/ontology/uf-extension#UFCurrentEntity	ufc	18285
http://vivoweb.org/ontology/core#NonAcademic	staff	10040
http://vivoweb.org/ontology/core#FacultyMember	fac	9225
http://vivo.school.edu/ontology/uf-extension#CourtesyFaculty	cfac	6285
http://vivo.school.edu/ontology/uf-extension#Consultant	cons	5362
http://vivo.school.edu/ontology/uf-extension#MiscFaculty	mfac	5001
http://vivoweb.org/ontology/core#EmeritusProfessor	eprof	1377
http://vivoweb.org/ontology/core#Postdoc	pd	1066
http://vivoweb.org/ontology/core#EmeritusFaculty	efac	901
http://vivoweb.org/ontology/core#NonFacultyAcademic	nfa	824
http://vivo.school.edu/ontology/uf-extension#Housestaff	house	398
http://vivo.school.edu/ontology/uf-extension#TemporaryFaculty	tfac	210
http://vivo.school.edu/ontology/uf-extension#ClinicalFaculty	clinfac	114
http://vivo.school.edu/ontology/uf-extension#Deceased	d	72
http://vivoweb.org/ontology/core#Librarian	l	66
http://vivoweb.org/ontology/core#GraduateStudent	gs	42
http://vivoweb.org/ontology/core#Student	stu	26
http://vivo.school.edu/ontology/uf-extension#VIVOOptIn	vivo	2
