short	vivo
1970-01-01	http://vivo.school.edu/individual/n2408624411
1970-01-01	http://vivo.school.edu/individual/n3873564891
1970-01-01	http://vivo.school.edu/individual/n654899262
1970-01-02	http://vivo.school.edu/individual/n5714729999
1970-01-03	http://vivo.school.edu/individual/n4353308567
1970-01-04	http://vivo.school.edu/individual/n8992431938
1970-01-05	http://vivo.school.edu/individual/n171265539
1970-01-06	http://vivo.school.edu/individual/n6307351371
1970-01-07	http://vivo.school.edu/individual/n4367445651
1970-01-08	http://vivo.school.edu/individual/n347050624
1970-01-09	http://vivo.school.edu/individual/n4865714337
1970-01-10	http://vivo.school.edu/individual/n7296458678
1970-01-11	http://vivo.school.edu/individual/n7943056652
1970-01-12	http://vivo.school.edu/individual/n2553588834
1970-01-13	http://vivo.school.edu/individual/n2383747433
1970-01-14	http://vivo.school.edu/individual/n3338923157
1970-01-15	http://vivo.school.edu/individual/n6592692918
1970-01-16	http://vivo.school.edu/individual/n9792146292
1970-01-17	http://vivo.school.edu/individual/n8946012489
1970-01-18	http://vivo.school.edu/individual/n5593085041
1970-01-19	http://vivo.school.edu/individual/n781487156
1970-01-20	http://vivo.school.edu/individual/n6312027287
1970-01-21	http://vivo.school.edu/individual/n4189979865
1970-01-22	http://vivo.school.edu/individual/n282487676
1970-01-23	http://vivo.school.edu/individual/n3219675449
1970-01-24	http://vivo.school.edu/individual/n8197167959
1970-01-25	http://vivo.school.edu/individual/n2334496303
1970-01-26	http://vivo.school.edu/individual/n3254201122
1970-01-27	http://vivo.school.edu/individual/n6098285554
1970-01-28	http://vivo.school.edu/individual/n1138228683
1970-01-29	http://vivo.school.edu/individual/n9010254083
1970-01-30	http://vivo.school.edu/individual/n6022673677
1970-01-31	http://vivo.school.edu/individual/n5724084996
1970-02-01	http://vivo.school.edu/individual/n1534916413
1970-02-01	http://vivo.school.edu/individual/n7905314343
1970-02-02	http://vivo.school.edu/individual/n6533656488
1970-02-03	http://vivo.school.edu/individual/n8996657932
1970-02-04	http://vivo.school.edu/individual/n9205722443
1970-02-05	http://vivo.school.edu/individual/n4732848279
1970-02-06	http://vivo.school.edu/individual/n8575263538
1970-02-07	http://vivo.school.edu/individual/n8139709920
1970-02-08	http://vivo.school.edu/individual/n2665739619
1970-02-09	http://vivo.school.edu/individual/n43610299
1970-02-10	http://vivo.school.edu/individual/n1627208311
1970-02-11	http://vivo.school.edu/individual/n126496506
1970-02-12	http://vivo.school.edu/individual/n3855354636
1970-02-13	http://vivo.school.edu/individual/n7549438398
1970-02-14	http://vivo.school.edu/individual/n5149247317
1970-02-15	http://vivo.school.edu/individual/n7180481995
1970-02-16	http://vivo.school.edu/individual/n5123648338
1970-02-17	http://vivo.school.edu/individual/n1695617771
1970-02-18	http://vivo.school.edu/individual/n767490480
1970-02-19	http://vivo.school.edu/individual/n9243729876
1970-02-20	http://vivo.school.edu/individual/n3583410644
1970-02-21	http://vivo.school.edu/individual/n1480507804
1970-02-22	http://vivo.school.edu/individual/n8961370728
1970-02-23	http://vivo.school.edu/individual/n6346741566
1970-02-24	http://vivo.school.edu/individual/n787329328
1970-02-25	http://vivo.school.edu/individual/n1812922245
1970-02-26	http://vivo.school.edu/individual/n6957358592
1970-02-27	http://vivo.school.edu/individual/n5845911463
1970-02-28	http://vivo.school.edu/individual/n3069469683
1970-03-01	http://vivo.school.edu/individual/n2383200587
1970-03-01	http://vivo.school.edu/individual/n7987168919
1970-03-02	http://vivo.school.edu/individual/n578973853
1970-03-03	http://vivo.school.edu/individual/n9287979097
1970-03-04	http://vivo.school.edu/individual/n932350062
1970-03-05	http://vivo.school.edu/individual/n4555707783
1970-03-06	http://vivo.school.edu/individual/n5140830407
1970-03-07	http://vivo.school.edu/individual/n2293700514
1970-03-08	http://vivo.school.edu/individual/n1596058890
1970-03-09	http://vivo.school.edu/individual/n9477415873
1970-03-10	http://vivo.school.edu/individual/n8932196139
1970-03-11	http://vivo.school.edu/individual/n2127956691
1970-03-12	http://vivo.school.edu/individual/n7057249998
1970-03-13	http://vivo.school.edu/individual/n1373544926
1970-03-14	http://vivo.school.edu/individual/n9467435438
1970-03-15	http://vivo.school.edu/individual/n4020762551
1970-03-16	http://vivo.school.edu/individual/n4263824781
1970-03-17	http://vivo.school.edu/individual/n1692714546
1970-03-18	http://vivo.school.edu/individual/n25444579
1970-03-19	http://vivo.school.edu/individual/n7813626481
1970-03-20	http://vivo.school.edu/individual/n9531805771
1970-03-21	http://vivo.school.edu/individual/n534108120
1970-03-22	http://vivo.school.edu/individual/n5461226051
1970-03-23	http://vivo.school.edu/individual/n1704244939
1970-03-24	http://vivo.school.edu/individual/n6690070428
1970-03-25	http://vivo.school.edu/individual/n5023602302
1970-03-26	http://vivo.school.edu/individual/n2105583499
1970-03-27	http://vivo.school.edu/individual/n6384707804
1970-03-28	http://vivo.school.edu/individual/n335099431
1970-03-29	http://vivo.school.edu/individual/n1856076382
1970-03-30	http://vivo.school.edu/individual/n9903405268
1970-03-31	http://vivo.school.edu/individual/n7713881786
1970-04-01	http://vivo.school.edu/individual/n2362791234
1970-04-01	http://vivo.school.edu/individual/n2986990213
1970-04-02	http://vivo.school.edu/individual/n49274644
1970-04-03	http://vivo.school.edu/individual/n1421784440
1970-04-04	http://vivo.school.edu/individual/n9387664477
1970-04-05	http://vivo.school.edu/individual/n5533612924
1970-04-06	http://vivo.school.edu/individual/n4466859087
1970-04-07	http://vivo.school.edu/individual/n4840447173
1970-04-08	http://vivo.school.edu/individual/n1620774298
1970-04-09	http://vivo.school.edu/individual/n2759307078
1970-04-10	http://vivo.school.edu/individual/n7792670295
1970-04-11	http://vivo.school.edu/individual/n5772622563
1970-04-12	http://vivo.school.edu/individual/n585447317
1970-04-13	http://vivo.school.edu/individual/n1707292902
1970-04-14	http://vivo.school.edu/individual/n6039462890
1970-04-15	http://vivo.school.edu/individual/n2249211485
1970-04-16	http://vivo.school.edu/individual/n5617496623
1970-04-17	http://vivo.school.edu/individual/n3977889841
1970-04-18	http://vivo.school.edu/individual/n1418923706
1970-04-19	http://vivo.school.edu/individual/n4677633563
1970-04-20	http://vivo.school.edu/individual/n6259252310
1970-04-21	http://vivo.school.edu/individual/n3124826511
1970-04-22	http://vivo.school.edu/individual/n1653316082
1970-04-23	http://vivo.school.edu/individual/n3396752102
1970-04-24	http://vivo.school.edu/individual/n4599268934
1970-04-25	http://vivo.school.edu/individual/n3638970991
1970-04-26	http://vivo.school.edu/individual/n9113920009
1970-04-27	http://vivo.school.edu/individual/n6277498913
1970-04-28	http://vivo.school.edu/individual/n9440676655
1970-04-29	http://vivo.school.edu/individual/n2123854515
1970-04-30	http://vivo.school.edu/individual/n8951160758
1970-05-01	http://vivo.school.edu/individual/n2786123217
1970-05-01	http://vivo.school.edu/individual/n5967810798
1970-05-02	http://vivo.school.edu/individual/n8626193224
1970-05-03	http://vivo.school.edu/individual/n3849682371
1970-05-04	http://vivo.school.edu/individual/n3126634342
1970-05-05	http://vivo.school.edu/individual/n4665831078
1970-05-06	http://vivo.school.edu/individual/n1689829527
1970-05-07	http://vivo.school.edu/individual/n293651447
1970-05-08	http://vivo.school.edu/individual/n4341923337
1970-05-09	http://vivo.school.edu/individual/n3557306936
1970-05-10	http://vivo.school.edu/individual/n5584579163
1970-05-11	http://vivo.school.edu/individual/n5794603126
1970-05-12	http://vivo.school.edu/individual/n4005703732
1970-05-13	http://vivo.school.edu/individual/n4620799949
1970-05-14	http://vivo.school.edu/individual/n751825161
1970-05-15	http://vivo.school.edu/individual/n2962188429
1970-05-16	http://vivo.school.edu/individual/n341695571
1970-05-17	http://vivo.school.edu/individual/n3903579489
1970-05-18	http://vivo.school.edu/individual/n6010565722
1970-05-19	http://vivo.school.edu/individual/n751712741
1970-05-20	http://vivo.school.edu/individual/n161503764
1970-05-21	http://vivo.school.edu/individual/n9997675197
1970-05-22	http://vivo.school.edu/individual/n2993276165
1970-05-23	http://vivo.school.edu/individual/n8135582595
1970-05-24	http://vivo.school.edu/individual/n2030759758
1970-05-25	http://vivo.school.edu/individual/n6957412472
1970-05-26	http://vivo.school.edu/individual/n3737853998
1970-05-27	http://vivo.school.edu/individual/n416765596
1970-05-28	http://vivo.school.edu/individual/n2945391927
1970-05-29	http://vivo.school.edu/individual/n2934736795
1970-05-30	http://vivo.school.edu/individual/n4420430124
1970-05-31	http://vivo.school.edu/individual/n8367061809
1970-06-01	http://vivo.school.edu/individual/n5170288266
1970-06-01	http://vivo.school.edu/individual/n6223959517
1970-06-02	http://vivo.school.edu/individual/n3497143428
1970-06-03	http://vivo.school.edu/individual/n9227260375
1970-06-04	http://vivo.school.edu/individual/n1282572059
1970-06-05	http://vivo.school.edu/individual/n592220337
1970-06-06	http://vivo.school.edu/individual/n3068092968
1970-06-07	http://vivo.school.edu/individual/n2308496540
1970-06-08	http://vivo.school.edu/individual/n3723376359
1970-06-09	http://vivo.school.edu/individual/n8904408376
1970-06-10	http://vivo.school.edu/individual/n5883750615
1970-06-11	http://vivo.school.edu/individual/n5835983697
1970-06-12	http://vivo.school.edu/individual/n814243337
1970-06-13	http://vivo.school.edu/individual/n8549886018
1970-06-14	http://vivo.school.edu/individual/n9460576441
1970-06-15	http://vivo.school.edu/individual/n8518694581
1970-06-16	http://vivo.school.edu/individual/n539666003
1970-06-17	http://vivo.school.edu/individual/n6709758346
1970-06-18	http://vivo.school.edu/individual/n8505018559
1970-06-19	http://vivo.school.edu/individual/n2154087604
1970-06-20	http://vivo.school.edu/individual/n7390506512
1970-06-21	http://vivo.school.edu/individual/n1972889417
1970-06-22	http://vivo.school.edu/individual/n295374337
1970-06-23	http://vivo.school.edu/individual/n1989165445
1970-06-24	http://vivo.school.edu/individual/n6606090562
1970-06-25	http://vivo.school.edu/individual/n2442062850
1970-06-26	http://vivo.school.edu/individual/n2873366189
1970-06-27	http://vivo.school.edu/individual/n7372977835
1970-06-28	http://vivo.school.edu/individual/n368574137
1970-06-29	http://vivo.school.edu/individual/n7270762034
1970-06-30	http://vivo.school.edu/individual/n2513790427
1970-07-01	http://vivo.school.edu/individual/n2228978695
1970-07-01	http://vivo.school.edu/individual/n8092494758
1970-07-02	http://vivo.school.edu/individual/n8775167286
1970-07-03	http://vivo.school.edu/individual/n1332697087
1970-07-04	http://vivo.school.edu/individual/n9066641344
1970-07-05	http://vivo.school.edu/individual/n4494001721
1970-07-06	http://vivo.school.edu/individual/n2818815223
1970-07-07	http://vivo.school.edu/individual/n6026679871
1970-07-08	http://vivo.school.edu/individual/n1385041229
1970-07-09	http://vivo.school.edu/individual/n3620125337
1970-07-10	http://vivo.school.edu/individual/n9096766972
1970-07-11	http://vivo.school.edu/individual/n4679646738
1970-07-12	http://vivo.school.edu/individual/n3863186388
1970-07-13	http://vivo.school.edu/individual/n589736259
1970-07-14	http://vivo.school.edu/individual/n6911209648
1970-07-15	http://vivo.school.edu/individual/n7282816772
1970-07-16	http://vivo.school.edu/individual/n3313247840
1970-07-17	http://vivo.school.edu/individual/n5947022003
1970-07-18	http://vivo.school.edu/individual/n6848360679
1970-07-19	http://vivo.school.edu/individual/n2229730943
1970-07-20	http://vivo.school.edu/individual/n1000479251
1970-07-21	http://vivo.school.edu/individual/n2696044080
1970-07-22	http://vivo.school.edu/individual/n8795841599
1970-07-23	http://vivo.school.edu/individual/n4445939846
1970-07-24	http://vivo.school.edu/individual/n7636628984
1970-07-25	http://vivo.school.edu/individual/n1891263550
1970-07-26	http://vivo.school.edu/individual/n1241438991
1970-07-27	http://vivo.school.edu/individual/n1372770061
1970-07-28	http://vivo.school.edu/individual/n2340812120
1970-07-29	http://vivo.school.edu/individual/n557552983
1970-07-30	http://vivo.school.edu/individual/n6495308657
1970-07-31	http://vivo.school.edu/individual/n961689452
1970-08-01	http://vivo.school.edu/individual/n4305857588
1970-08-01	http://vivo.school.edu/individual/n4441911307
1970-08-02	http://vivo.school.edu/individual/n132970147
1970-08-03	http://vivo.school.edu/individual/n8885968199
1970-08-04	http://vivo.school.edu/individual/n5797913971
1970-08-05	http://vivo.school.edu/individual/n9737352079
1970-08-06	http://vivo.school.edu/individual/n7372955079
1970-08-07	http://vivo.school.edu/individual/n9969328169
1970-08-08	http://vivo.school.edu/individual/n6264502445
1970-08-09	http://vivo.school.edu/individual/n5688219095
1970-08-10	http://vivo.school.edu/individual/n8998874895
1970-08-11	http://vivo.school.edu/individual/n5815983571
1970-08-12	http://vivo.school.edu/individual/n7868055548
