uri	deptid	photo	type	name	title
http://vivo.ufl.edu/individual/n1000048953	60754100;60752000;60754000;60700000;60754400;60754300;60753000;60754200;60751000;60750000		http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://xmlns.com/foaf/0.1/Person;http://vivoweb.org/ontology/core#FacultyMember;http://xmlns.com/foaf/0.1/Agent;http://www.w3.org/2002/07/owl#Thing;http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity	Zuniga Pinto, Adrian Israel	student
http://vivo.ufl.edu/individual/n10006			http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://www.w3.org/2002/07/owl#Thing;http://xmlns.com/foaf/0.1/Person;http://xmlns.com/foaf/0.1/Agent;http://vivoweb.org/ontology/core#FacultyMember	Wilson,Nola M	
http://vivo.ufl.edu/individual/n10007	30090000;30090100		http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://vivo.ufl.edu/ontology/vivo-ufl/Consultant;http://vivoweb.org/ontology/core#FacultyMember;http://xmlns.com/foaf/0.1/Agent;http://www.w3.org/2002/07/owl#Thing;http://xmlns.com/foaf/0.1/Person	Goudarzi,Tajvar	
http://vivo.ufl.edu/individual/n1000859507		sand.jpg	http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://www.w3.org/2002/07/owl#Thing;http://xmlns.com/foaf/0.1/Person;http://xmlns.com/foaf/0.1/Agent;http://vivoweb.org/ontology/core#FacultyMember	Sand,Claire Koelsch	
http://vivo.ufl.edu/individual/n1001	60352055	cantliffe.jpg	http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://xmlns.com/foaf/0.1/Person;http://vivoweb.org/ontology/core#FacultyMember;http://xmlns.com/foaf/0.1/Agent;http://vivoweb.org/ontology/core#EmeritusFaculty;http://vivoweb.org/ontology/core#EmeritusProfessor;http://www.w3.org/2002/07/owl#Thing;http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity	Cantliffe, Daniel J	County Extension Dir. IV, Agriculture, P.L.
http://vivo.ufl.edu/individual/n1001110310	16100000;16089050;16900500;16980301;16980300;16980200;16907000;16109000;16947000;16909050;16949000;16900701;16900700;16900703;16089000;16980500;16900100;16940100;16900000;16100100;16080000;16940000;16900300;16080100;16909000;16501000;16109050;16949050		http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://xmlns.com/foaf/0.1/Person;http://vivoweb.org/ontology/core#FacultyMember;http://xmlns.com/foaf/0.1/Agent;http://www.w3.org/2002/07/owl#Thing;http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity	Kaplan, Fatma	Postdoctoral Associate
http://vivo.ufl.edu/individual/n10012	24010300;24010050;24060300;24060206;24060207;24060204;24060205;24060202;24010650;24060201;24030100;24070200;24070300;24070000;24010400;24050101;24070100;24070101;24010500;24030000;24060100;24060000;24010600;24020110;24020111;24010700;24050100;24010000;24020000;24060200;24010200;24000000;24030200;24010100;24020300;24070401;24070400;24020200;24050000;24020101;24020100;24020103;24020105;24020104;24020107;24020106;24020109;24020108	Riskin.jpg	http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://xmlns.com/foaf/0.1/Person;http://vivoweb.org/ontology/core#FacultyMember;http://xmlns.com/foaf/0.1/Agent;http://www.w3.org/2002/07/owl#Thing;http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity	Riskin, Leonard	Faculty
http://vivo.ufl.edu/individual/n10017	32080200;32010100;32080300;32010000;32050000;32010300;32061400;32010200;32060400;32040000;32060500;32060501;32061100;32080400;32080500;32010500;32061300;32060000;32061200;32070100;32070000;32080000;32080100;32000000		http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://xmlns.com/foaf/0.1/Person;http://vivoweb.org/ontology/core#FacultyMember;http://xmlns.com/foaf/0.1/Agent;http://www.w3.org/2002/07/owl#Thing;http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity	Ruspantini, William	Student
http://vivo.ufl.edu/individual/n10018	29030000;29030300;29030101;29030100;29030102		http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://www.w3.org/2002/07/owl#Thing;http://xmlns.com/foaf/0.1/Person;http://xmlns.com/foaf/0.1/Agent;http://vivoweb.org/ontology/core#FacultyMember	Vanvliet, Kim	
http://vivo.ufl.edu/individual/n10019			http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://www.w3.org/2002/07/owl#Thing;http://xmlns.com/foaf/0.1/Person;http://xmlns.com/foaf/0.1/Agent;http://vivoweb.org/ontology/core#FacultyMember	Xavier,Nirmala	
