uri	abbreviation	url	number	name	photo
http://vivo.ufl.edu/individual/n1001011525			1228	Polyhouse #9-Ornamental Horticulture	
http://vivo.ufl.edu/individual/n1010879650			843	Warehouse	
http://vivo.ufl.edu/individual/n1020350772			166	Parking Garage 9 (Archer Rd S)	
http://vivo.ufl.edu/individual/n1033794223			1282	Turfgrass Envirotron	
http://vivo.ufl.edu/individual/n1036168159			1164	Restroom/Pavilion Bldg Site B	
http://vivo.ufl.edu/individual/n1049377541			1139	Fuel Cell Garage	
http://vivo.ufl.edu/individual/n106575		http://www.harn.ufl.edu/;http://campusmap.ufl.edu/?loc=0309&zoom=17	309	Samuel P. Harn Museum of Art	800px-UF_HarnMuseum.JPG
http://vivo.ufl.edu/individual/n1070841748			638	Nematode Plot Shelter	
http://vivo.ufl.edu/individual/n1079183839			39	Nancy W. Yulee Hall	
http://vivo.ufl.edu/individual/n1085243155			685	Food/Environ Toxicology Lab	
http://vivo.ufl.edu/individual/n1088146681			152	Crops and Soils Field Lab	
http://vivo.ufl.edu/individual/n1094958214			283	Corry	
http://vivo.ufl.edu/individual/n111669	JWRU	http://www.union.ufl.edu/	686	J. Wayne Reitz Union	
http://vivo.ufl.edu/individual/n1118833321			726	Chemical Eng Solvent Storage	
http://vivo.ufl.edu/individual/n1159677718			1183	Lakeside Residential Complex	
http://vivo.ufl.edu/individual/n1164496101			330	University Village	
http://vivo.ufl.edu/individual/n1164617709			770	Swine Unit Barn	
http://vivo.ufl.edu/individual/n1183361958			892	Clinical Trials Research Bldg	
http://vivo.ufl.edu/individual/n1184298540			35	Computer Power Supply	
http://vivo.ufl.edu/individual/n1189353889			246	Environmental Microbiology	
http://vivo.ufl.edu/individual/n120161886			766	Swine Unit Methane Shed	
http://vivo.ufl.edu/individual/n1223428531			887	Swine Unit Farrowing Barn	
http://vivo.ufl.edu/individual/n122553429			712	Volatile Storage	
http://vivo.ufl.edu/individual/n122816629			832	H.S. Newins-E.A. Ziegler Hall	
http://vivo.ufl.edu/individual/n1237543703			1373	Head House	
http://vivo.ufl.edu/individual/n124678695			452	Baby Gator Storage	
http://vivo.ufl.edu/individual/n1265898597			394	Maguire Pool Filtration	
http://vivo.ufl.edu/individual/n1274669368			631	Wallace Building	
http://vivo.ufl.edu/individual/n1274960632			159	Florida Field North End Zone	
http://vivo.ufl.edu/individual/n1285657830			33	Engineering	
http://vivo.ufl.edu/individual/n129194207			1005	Keys Residential Complex	
http://vivo.ufl.edu/individual/n129237781			548	Chemical Storage	
http://vivo.ufl.edu/individual/n130076285			388	Maguire 24	
http://vivo.ufl.edu/individual/n1314664099			437	Fiber Hut Elmore	
http://vivo.ufl.edu/individual/n131525657			1020	Equine Barn A	
http://vivo.ufl.edu/individual/n1317668965			1161	Softball Maintenance Bldg.	
http://vivo.ufl.edu/individual/n1320498078			441	"Greenhouse, Vegetable Crops"	
http://vivo.ufl.edu/individual/n1331548281			284	Corry	
http://vivo.ufl.edu/individual/n1331725124			501	Plant Growth Room	
http://vivo.ufl.edu/individual/n1367507419			22	William G. Carleton Auditorium	
http://vivo.ufl.edu/individual/n1393388458			837	Rifle Range	
http://vivo.ufl.edu/individual/n1395712719			47	"Greenhouse, Plant Pathology"	
http://vivo.ufl.edu/individual/n1403337578			168	Mycology Lab	
http://vivo.ufl.edu/individual/n1406928314			777	Greenhouse	
http://vivo.ufl.edu/individual/n1414948115			1222	Bio-Containment Facility	
http://vivo.ufl.edu/individual/n1416748406			942	Pole Barn	
http://vivo.ufl.edu/individual/n1427053050			180	Fiber Hut Mae	
http://vivo.ufl.edu/individual/n1442262917			134	Duncan U. Fletcher Hall	
http://vivo.ufl.edu/individual/n1442584293			804	Ppd Vehicle Wash/Lube Station	
http://vivo.ufl.edu/individual/n1453060309			153	Development and Alumni Affairs	
http://vivo.ufl.edu/individual/n1460090775			44	"Greenhouse, Grounds"	
http://vivo.ufl.edu/individual/n1463510055			109	FLMNH Pole Barn	
http://vivo.ufl.edu/individual/n146404		http://www.arts.ufl.edu/venue_details.asp?venueID=14;http://campusmap.ufl.edu/?loc=0117&zoom=17	117	Music Building	music3.jpg
http://vivo.ufl.edu/individual/n1473567931			1085	Springs Residential Complex	
http://vivo.ufl.edu/individual/n1475751863			1364	Greenhouse	
http://vivo.ufl.edu/individual/n148250320			191	"Field Lab, Forestry"	
http://vivo.ufl.edu/individual/n1485370279			34	UF Information	
http://vivo.ufl.edu/individual/n1487602850			220	VA Education Building #14	
http://vivo.ufl.edu/individual/n1506544177			1362	Greenhouse	
http://vivo.ufl.edu/individual/n152321642			107	"Field Lab, Forestry"	
http://vivo.ufl.edu/individual/n1523452873			841	"Greenhouse, Plant Pathology"	
http://vivo.ufl.edu/individual/n1533367859			408	Alpha Omicron Pi	
http://vivo.ufl.edu/individual/n154420		http://campusmap.ufl.edu/?loc=0448&zoom=17	448	Century Tower;Century Tower Carillon	century_tower_image.jpg
http://vivo.ufl.edu/individual/n154519376			794	Physical Plant Storage #1	
http://vivo.ufl.edu/individual/n1546851117			337	ACS Housing #5	
http://vivo.ufl.edu/individual/n1557312894			1216	"Greenhouse, Ornamental Horticulture"	
http://vivo.ufl.edu/individual/n156101206			1184	Lakeside Residential Complex	
http://vivo.ufl.edu/individual/n1574342667			931	"Greenhouse, Agronomy"	
http://vivo.ufl.edu/individual/n157831072			3005	Magnetic Resonance Imaging	
http://vivo.ufl.edu/individual/n1585101480			834	Greenhouse	
http://vivo.ufl.edu/individual/n1609304059			562	James G. Pressly Stadium	
http://vivo.ufl.edu/individual/n1609568523			1250	Fruit Packing	
http://vivo.ufl.edu/individual/n1625225999			721	John R. Benton Hall	
http://vivo.ufl.edu/individual/n1631190611			681	"Workshop/Storage, Forestry"	
http://vivo.ufl.edu/individual/n1636905235			739	"Greenhouse, Forestry"	
