AwardIDType|AwardID|Title|TotalAwarded|DirectCosts|StartDate|EndDate|PI|CoPI|Inv|DeptID|SponsorID|SponsorAwardID|Note
PROJ|00092696|A MULTICENTER, DOUBLE-BLIND, RANDOMIZED PARALLEL-ARM STUDY TO DETERMINE THE EFFECT OF METHOTREXATE DOSE ON CLINICAL....|99530.00|79624.00|01/19/2011|09/27/2013|93921458|||30050100|GM05|NULL|
PROJ|00094719|A DOUBLE-BLIND, RANDOMIZED, PARALLEL-ARM, MULTICENTER STUDY TO DETERMINE THE DOSE RESPONSE OF METHOTREXATE (MTX) . . .|35194.50|28155.60|02/03/2011|02/03/2014|93921458|||30050000|GM05|NULL|
PROJ|00113451|A RANDOMIZED DOUBLE-BLIND PLACEBO CONTROLLED MULTI-CENTER STUDY TO EVALUATE THE SAFETY AND EFFICACY OF ECULIZUMAB.....|30407.80|24326.24|12/20/2013|12/19/2016|13536601|||30180000|GM0868|NULL|
PROJ|00082833|A PHASE 3, RANDOMIZED, OPEN LABEL STUDY OF NERATINIB VERSUS LAPATINIB PLUS CAPECITABINE FOR THE TREATMENT OF EBRB-2 POSI|4555.88|3644.70|07/22/2009|10/08/2010|49162628|||30050100|GM035|NULL|
PROJ|00115025|EFFICACY AND SAFETY OF AM-101 IN THE TREATMENT OF ACUTE PERIPHERAL TINNITUS 2 (TACTT2)|9913.60|7745.00|01/30/2014|01/29/2017|10172821|||30140000|GM0005373|NULL|
PROJ|00116884|AM-101 IN THE POST ACUTE TREATMENT OF PERIPHERAL TINNITUS 1 (AMPACT1) AN OPEN LABEL EXTENSION TO THE TACTT2 STUDY....|4819.20|3765.00|04/03/2014|04/02/2017|10172821|||30140000|GM0005373|NULL|
PROJ|00082306|A RANDOMIZED, DOUBLE-BLIND, PLACEBO CONTROLLED, CROSS-OVER STUDY OF THE EFFECTIVENESS OF IMMUNE GLOBULIN INTRAVENOUS...|9562.50|7650.00|06/10/2009|04/11/2011|50745130|||30180100|GM061|NULL|
PROJ|00082831|CLINICAL EVALUATION OF EFFICACY AND SAFETY OF A BAXTER FIBRISEALANT FOR HEMOSTASIS IN SUBJECTS UNDERGOING VASCULAR......|63512.00|50809.60|07/22/2009|03/23/2011|38595901|||30140000|GM061|NULL|
PROJ|00102927|A PROSPECTIVE RANDOMIZED DOUBLE BLINDED ACTIVE CONTROL AND UNBLINDED STANDARD OF CARE CONTROLLED STUDY....|194756.65|155805.31|04/11/2012|04/11/2018|07524721|||30050000|GM061|NULL|
PROJ|00106117|PROSPECTIVE, MULTI-CENTER RADOMIZED DBL-BLINDED PARTIAL CROSSOVER STUDY TO ASSESS THE SAFETY AND EFFICACY...|56846.60|45477.28|08/20/2012|08/19/2015|55639044|||30190000|GM0006057|NULL|
PROJ|00094716|ESCALATING CLOPIDOGREI BY INVOLVING A GENETIC STRATEGY - THROMBOLYSIS IN MYOCARDIAL INFARCTION 56|28812.50|23050.00|01/07/2011|09/22/2012|78883621|||30050000|GM01499|NULL|
PROJ|00096348|A RANDOMIZED, DOUBLE BLINDED PLACEBO CONTROLLED PARALLEL GROUP, MULTINATIONAL TRIAL.....|344380.25|275504.20|02/10/2011|02/10/2017|78883621|||30050000|GM01499|NULL|
PROJ|00084779|THE BALANCE STUDY|120675.00|96540.00|10/28/2009|12/10/2010|21425922|||30050000|GM04355|NULL|
PROJ|00087618|INTERNATIONAL, MULTICENTER, STUDY OF A 28 WEEK, OPEN LABEL, TITRATED ORAL LIXIVAPTAN ADMINISTRATION|2500.00|2000.00|04/06/2010|12/07/2010|21425922|||30050000|GM04355|NULL|
PROJ|00114982|PHOENIX:A CLINICAL STUDY OF PATIENTS WITH SYMPTOMATIC NEUROGENIC HYPOTENSION TO ASSES SUSTAINED EFFECTS OF...|14898.40|11639.38|02/25/2014|02/24/2017|61729101|||30180000|GM0006146|NULL|
PROJ|00108018|THE CORRONA DATA COLLECTION PROGRAM|13395.00|10716.00|04/05/2012|04/04/2015|93921458,19657153|||30050000|GM0006058|NULL|
PROJ|00094294|AN OPEN-LABEL STUDY TO DETERMINE THE SAFETY AND PHARMACOKINETICS OF CMX001 IN SUBJECTS WITH IMPAIRED . . .|109873.91|87899.12|04/07/2011|05/05/2011|92991761|||29660000|GM0628|NULL|
PROJ|00105282|OTSUKA 269-11-215 CADENCE|13337.50|10670.00|10/02/2012|10/01/2015|53633649|||30050000|GM0628|NULL|
PROJ|00118371|A PROSPECTIVE RANDOMIZED DBL BLIND MULTICENTER PHASE 3 STUDYTO ASSESS THE SAFETY & EFFICACY OF INTRAVENOUS CEFTOLOZANE..|5320.80|4156.87|04/02/2014|04/01/2017|39414481|||30140000|GM01153|NULL|
PROJ|00092009|THE EXPEDITE STUDY:...OF THE MISOPROSTOL VAGINAL INSERT (MVI) 200 MCG TO THE DINOPROSTONE VAGINAL INSERT FOR REDUCING TI|19251.00|15400.80|11/24/2010|12/31/2012|19338901|||30070000|GM05175|NULL|
PROJ|00102827|A MULTICENTER, RANDOMIZED, CONTROLLED, PIVOTAL STUDY TO ASSESS THE SAFETY AND EFFICACY OF A SELECTIVE CYTOPHERETIC..|14500.00|11600.00|05/18/2012|09/20/2013|45319046|||30050000|GM0005497|NULL|
PROJ|00102284|A PHARMACODYNAMIC EVALUATION OF SWITCHING FROM TICAGRELOR TO PRASUGREL IN SUBJECTS WITH STABLE CORONARY ARTERY DISEASE..|137352.32|109881.85|03/09/2012|03/09/2015|78883621|||30050000|GM02807|NULL|
PROJ|00120725|A RANDOMIZED DOUBLE-BLIND PARALLEL GROUP VEHICLE CONTROLLED PHASE 3 CLINICAL TRIAL TO EVALUATE THE EFFICACY AND SAFETY..|11520.00|9000.00|11/19/2014|11/18/2017|39941838|||30170000|GM0006900|NULL|
PROJ|00086263|A PHASE 3, RANDOMIZED, MULTI-CENTER OPEN LABEL STUDY TO EVALUATE THE EFFICACY SAFETY AND TOLERABILITY OF ALBUMIN........|20547.00|20547.00|02/03/2010|06/24/2010|06996989|||30050100|GM03064|NULL|
PROJ|00086702|ANADYS: A PHASE 2, RANDOMIZED, DOUBLE-BLIND, PLACEBO- CONTROLLED, ASCENDING MULTIPLE DOSE TRIAL OF THE SAFETY. . .|45467.25|36373.80|02/15/2010|10/01/2012|51342270|31898691||29051402|GM03064|NULL|
PROJ|00102542|A PHASE 2A, MULTI-CENTER RANDOMIZED DOUBLE-BLIND PLACEBO CONTROLLED SINGLE ASCENDING DOSE STUDY TO INVESTIGATE..........|0.00|0.00|04/30/2012|04/30/2015|78883621|||30050000|GM03064|NULL|
PROJ|00110863|A RANDOMISED DOUBLE-BLIND PARALLEL GROUP MULTICENTRE PHASE IIIB STUDY TO COMPARE TICAGRELOR WITH CLOPIDOGREL ....|47435.00|37948.00|06/06/2013|06/06/2016|46132161|||30050000|GM03064|NULL|
PROJ|00092105|RANDOMIZED CLINICAL TRIAL OF SUBCUTANEOUS ANALOG BASAL BOLUS THERAPY VERSUS SLIDING SCALE HUMAN REGULAR INSULIN. .|6102.59|4882.07|07/23/2010|09/14/2013|47698165|||30050000|GM0158|NULL|
PROJ|00092693|TRANSLATE-ACS STUDY: TREATMENT WITH ADP RECEPTOR INHIBITORS:LONGITUDINAL ASSESSMENT OF TREATMENT PATTERNS AND EVENTS...|54765.00|43812.00|11/17/2010|11/17/2016|78883621,14219202|||30050000|GM0158|NULL|
PROJ|00095499|...EFFECTS OF TERIPARATIDE WITH THOSE OF RISEDRONATE ON LUMBAR SPINE BONE MINERAL DENSITY IN MEN AND POSTMENO...|12979.19|10383.35|02/02/2011|02/02/2017|36913680|||30170000|GM0158|NULL|
