uri	city	zip	name	home_page	email	street_address	within	isni	abbreviation	phone	fax	state	country	photo	overview	type	successor
http://vivo.school.edu/individual/1711215368			Phormax Corporation													fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4	
http://vivo.school.edu/individual/1740510435			Itt Industries Inc													fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4	
http://vivo.school.edu/individual/2296164111			Visteon Corp													fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4	
http://vivo.school.edu/individual/2768065116			Amer Bioscience Inc													fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4	
http://vivo.school.edu/individual/3066270733			Burroughs Wellcome Company													fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4	
http://vivo.school.edu/individual/3094034736			Cetus Oncology Corp													fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4	
http://vivo.school.edu/individual/3293325926			Glaxo Smithkline													fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4	
http://vivo.school.edu/individual/3369154919			Avax America Inc													fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4	
http://vivo.school.edu/individual/3805257004			Galileo Laboratories Inc													fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4	
http://vivo.school.edu/individual/3963516916			Framatome Technologies Inc													fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4	
http://vivo.school.edu/individual/4238702950			Titan Pharmaceuticals Inc													fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4	
http://vivo.school.edu/individual/5226631481			Concepts in Pharm Research Inc													fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4	
http://vivo.school.edu/individual/5874327687			Advanced Technology Labs Inc													fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4	
http://vivo.school.edu/individual/5927175557			Sepracor Inc													fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4	
http://vivo.school.edu/individual/5985039965			Novazyme Pharmaceuticals Inc													fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4	
http://vivo.school.edu/individual/7424661856			Wrs Infrastructure & Env													fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4	
http://vivo.school.edu/individual/793961448			Exponent Environmental Group													fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4	
http://vivo.school.edu/individual/8015313782			Acorn Cardiovascular Inc													fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4	
http://vivo.school.edu/individual/8084707766			Optometrix Inc													fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4	
http://vivo.school.edu/individual/8202429111			Fabre Kramer Pharmaceuticals													fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4	
http://vivo.school.edu/individual/8679496269			Advanced Tissue Sciences													fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4	
http://vivo.school.edu/individual/8720619787			Burroughs Wellcome Fund				http://vivo.school.edu/individual/3066270733									foundation;fundingorganization;agent;thing;bfo1;org;bfo2;bfo4	
http://vivo.school.edu/individual/9231791860			Seaspace Corporation													fundingorganization;company;agent;thing;bfo1;org;bfo2;bfo4	
http://vivo.school.edu/individual/n1047			Springer													publisher;agent;thing;bfo1;org;bfo2;bfo4	
http://vivo.school.edu/individual/n1311			Duraspace							(607) 216-4548					DuraSpace is an independent 501(c)(3) not-for-profit organization providing leadership and innovation for open technologies that promote durable, persistent access to digital data. We collaborate with academic, scientific, cultural, and technology communities by supporting projects and creating services to help ensure that current and future generations have access to our collective digital heritage.	company;agent;thing;bfo1;org;bfo2;bfo4	file:///var/lib/tomcat7/Lyrasis
http://vivo.school.edu/individual/n2232			Center for Instructional and Research Computing Activities						CIRCA							uf;center;agent;thing;bfo1;org;bfo2;bfo4	http://vivo.school.edu/individual/n2596
http://vivo.school.edu/individual/n2596			Academic Technology													uf;thing;agent;department;bfo1;org;bfo2;bfo4	
http://vivo.school.edu/individual/n2770			National Institutes of Health					0000 0001 2297 5165								governmentagency;fundingorganization;researchorganization;agent;thing;bfo1;org;bfo2;bfo4	
http://vivo.school.edu/individual/n4145			Chemistry				http://vivo.school.edu/individual/n721									uf;thing;agent;department;academicdepartment;bfo1;org;bfo2;bfo4	
http://vivo.school.edu/individual/n4584			Nature Publishing Group													publisher;agent;thing;bfo1;org;bfo2;bfo4	
http://vivo.school.edu/individual/n5230			Oxford University Press													publisher;agent;thing;bfo1;org;bfo2;bfo4	
http://vivo.school.edu/individual/n6310	Gainesville	32653	Clinical and Translational Science Institute	http://www.ctsi.ufl.edu	info@ctsi.ufl.edu	2040 Mowry Road; Room 3124	http://vivo.school.edu/individual/n8013	1111 2222 3333 4444	CTSI	(352) 273-8700	352 273 8701	FL	USA	IMG_2663.jpg		uf;institute;agent;thing;bfo1;org;bfo2;bfo4	
http://vivo.school.edu/individual/n721			College of Liberal Arts and Sciences				http://vivo.school.edu/individual/n8013									uf;agent;thing;college;bfo1;org;bfo2;bfo4	
http://vivo.school.edu/individual/n7580			VIVO Project	http://vivoweb.org			http://vivo.school.edu/individual/n1311									agent;thing;program;bfo1;org;bfo2;bfo4	
http://vivo.school.edu/individual/n8013			University of Florida	http://www.ufl.edu				0000 0004 1936 8091								uf;university;agent;thing;bfo1;org;bfo2;bfo4	
http://vivo.school.edu/individual/n934389325			Physics				http://vivo.school.edu/individual/n721									uf;thing;agent;department;academicdepartment;bfo1;org;bfo2;bfo4	
