short	vivo
95032300	http://vivo.ufl.edu/individual/n38620
69010100	http://vivo.ufl.edu/individual/n23788
63540500	http://vivo.ufl.edu/individual/n1278115
95420000	http://vivo.ufl.edu/individual/n97195
29240105	http://vivo.ufl.edu/individual/n183020
17220400	http://vivo.ufl.edu/individual/n466118
19050200	http://vivo.ufl.edu/individual/n207803
08072200	http://vivo.ufl.edu/individual/n51020
28313600	http://vivo.ufl.edu/individual/n1278128
28312300	http://vivo.ufl.edu/individual/n1278128
16037000	http://vivo.ufl.edu/individual/n1278106
57990000	http://vivo.ufl.edu/individual/n1278104
19010510	http://vivo.ufl.edu/individual/n1278118
17200201	http://vivo.ufl.edu/individual/n466105
95430500	http://vivo.ufl.edu/individual/n87379
95030400	http://vivo.ufl.edu/individual/n38620
29320000	http://vivo.ufl.edu/individual/n256931
27070602	http://vivo.ufl.edu/individual/n2021222054
63560100	http://vivo.ufl.edu/individual/n1278115
55200000	http://vivo.ufl.edu/individual/n1045310
95330100	http://vivo.ufl.edu/individual/n87379
29141004	http://vivo.ufl.edu/individual/n250701
27010709	http://vivo.ufl.edu/individual/n597168862
52034000	http://vivo.ufl.edu/individual/n366312
60170000	http://vivo.ufl.edu/individual/n8763421
27060100	http://vivo.ufl.edu/individual/n65156
29280201	http://vivo.ufl.edu/individual/n153305
29160102	http://vivo.ufl.edu/individual/n43381
30290200	http://vivo.ufl.edu/individual/n254611
20010000	http://vivo.ufl.edu/individual/n1278125
56022400	http://vivo.ufl.edu/individual/n366314
04030000	http://vivo.ufl.edu/individual/n46856
60181000	http://vivo.ufl.edu/individual/n8858874
60962000	http://vivo.ufl.edu/individual/n352346
35040200	http://vivo.ufl.edu/individual/n2021222054
16109000	http://vivo.ufl.edu/individual/n2030376853
55010600	http://vivo.ufl.edu/individual/n1278112
82110000	http://vivo.ufl.edu/individual/n38620
27030000	http://vivo.ufl.edu/individual/n183358
57130300	http://vivo.ufl.edu/individual/n243212
24070300	http://vivo.ufl.edu/individual/n466111
27070200	http://vivo.ufl.edu/individual/n2021222054
17220300	http://vivo.ufl.edu/individual/n466118
18020100	http://vivo.ufl.edu/individual/n466104
08060500	http://vivo.ufl.edu/individual/n51020
28000000	http://vivo.ufl.edu/individual/n237306
60352045	http://vivo.ufl.edu/individual/n8858850
60352010	http://vivo.ufl.edu/individual/n8858873
28011203	http://vivo.ufl.edu/individual/n237306
73040000	http://vivo.ufl.edu/individual/n1137474444
14220802	http://vivo.ufl.edu/individual/n466171
57820300	http://vivo.ufl.edu/individual/n1278104
28313100	http://vivo.ufl.edu/individual/n1278128
14301040	http://vivo.ufl.edu/individual/n294093
34080101	http://vivo.ufl.edu/individual/n8858900
30070000	http://vivo.ufl.edu/individual/n90431
06030122	http://vivo.ufl.edu/individual/n9823
18010100	http://vivo.ufl.edu/individual/n466104
60874000	http://vivo.ufl.edu/individual/n7756027
32070000	http://vivo.ufl.edu/individual/n466110
51010000	http://vivo.ufl.edu/individual/n199963
95370108	http://vivo.ufl.edu/individual/n60167
05300000	http://vivo.ufl.edu/individual/n18508
19010500	http://vivo.ufl.edu/individual/n1278118
28319100	http://vivo.ufl.edu/individual/n1278128
95014100	http://vivo.ufl.edu/individual/n126367
18040100	http://vivo.ufl.edu/individual/n466104
57720000	http://vivo.ufl.edu/individual/n243605
16240100	http://vivo.ufl.edu/individual/n69413
16400300	http://vivo.ufl.edu/individual/n65183
57140000	http://vivo.ufl.edu/individual/n366307
34010303	http://vivo.ufl.edu/individual/n243222
16640000	http://vivo.ufl.edu/individual/n50212
16660000	http://vivo.ufl.edu/individual/n1045306
27070700	http://vivo.ufl.edu/individual/n2021222054
60410000	http://vivo.ufl.edu/individual/n4777238
63700600	http://vivo.ufl.edu/individual/n1278115
08063100	http://vivo.ufl.edu/individual/n51020
60351066	http://vivo.ufl.edu/individual/n8858857
19011600	http://vivo.ufl.edu/individual/n1278118
57761700	http://vivo.ufl.edu/individual/n8858802
03020300	http://vivo.ufl.edu/individual/n50502
20000000	http://vivo.ufl.edu/individual/n1278125
60330000	http://vivo.ufl.edu/individual/n243204
19030000	http://vivo.ufl.edu/individual/n361590
16202400	http://vivo.ufl.edu/individual/n47689
26050300	http://vivo.ufl.edu/individual/n8858864
16980500	http://vivo.ufl.edu/individual/n2030376853
56020900	http://vivo.ufl.edu/individual/n366314
26020400	http://vivo.ufl.edu/individual/n243213
30170100	http://vivo.ufl.edu/individual/n232486
56020400	http://vivo.ufl.edu/individual/n366314
56030000	http://vivo.ufl.edu/individual/n366314
16862100	http://vivo.ufl.edu/individual/n438002092
15030600	http://vivo.ufl.edu/individual/n1378991289
68022000	http://vivo.ufl.edu/individual/n44585
19090100	http://vivo.ufl.edu/individual/n88293
32030100	http://vivo.ufl.edu/individual/n159204
13050200	http://vivo.ufl.edu/individual/n88112210
23070158	http://vivo.ufl.edu/individual/n1920628093
27071700	http://vivo.ufl.edu/individual/n2021222054
48023000	http://vivo.ufl.edu/individual/n249381
70010500	http://vivo.ufl.edu/individual/n170589
27011400	http://vivo.ufl.edu/individual/n1278114
14301090	http://vivo.ufl.edu/individual/n294093
52071000	http://vivo.ufl.edu/individual/n366312
16880500	http://vivo.ufl.edu/individual/n524447
35060103	http://vivo.ufl.edu/individual/n2021222054
71010800	http://vivo.ufl.edu/individual/n7756017
04010217	http://vivo.ufl.edu/individual/n445939856
07570000	http://vivo.ufl.edu/individual/n69593
63700700	http://vivo.ufl.edu/individual/n1278115
60261000	http://vivo.ufl.edu/individual/n8763422
60952000	http://vivo.ufl.edu/individual/n1582589945
29081500	http://vivo.ufl.edu/individual/n103455
35050000	http://vivo.ufl.edu/individual/n2021222054
57820200	http://vivo.ufl.edu/individual/n1278104
82120000	http://vivo.ufl.edu/individual/n38620
18010000	http://vivo.ufl.edu/individual/n466104
29092000	http://vivo.ufl.edu/individual/n56773
16069050	http://vivo.ufl.edu/individual/n108003
24130000	http://vivo.ufl.edu/individual/n20147
61010400	http://vivo.ufl.edu/individual/n20006
07051200	http://vivo.ufl.edu/individual/n69593
29050102	http://vivo.ufl.edu/individual/n2141234302
63100200	http://vivo.ufl.edu/individual/n1278115
18340000	http://vivo.ufl.edu/individual/n1459732594
24050101	http://vivo.ufl.edu/individual/n466111
19220300	http://vivo.ufl.edu/individual/n1278118
08064000	http://vivo.ufl.edu/individual/n51020
64100000	http://vivo.ufl.edu/individual/n107958
29030300	http://vivo.ufl.edu/individual/n129522
27020100	http://vivo.ufl.edu/individual/n35823
16129001	http://vivo.ufl.edu/individual/n32260
05240000	http://vivo.ufl.edu/individual/n18508
19010100	http://vivo.ufl.edu/individual/n1278118
29110100	http://vivo.ufl.edu/individual/n1466923641
16121500	http://vivo.ufl.edu/individual/n32260
29160206	http://vivo.ufl.edu/individual/n43381
29090200	http://vivo.ufl.edu/individual/n296228
60102000	http://vivo.ufl.edu/individual/n8858868
29091402	http://vivo.ufl.edu/individual/n105028
28091400	http://vivo.ufl.edu/individual/n987236
23130113	http://vivo.ufl.edu/individual/n1631571675
14306007	http://vivo.ufl.edu/individual/n466171
23100203	http://vivo.ufl.edu/individual/n243205
69030200	http://vivo.ufl.edu/individual/n23788
04060000	http://vivo.ufl.edu/individual/n466126
95370100	http://vivo.ufl.edu/individual/n60167
29240103	http://vivo.ufl.edu/individual/n120117
17050300	http://vivo.ufl.edu/individual/n46926
56020100	http://vivo.ufl.edu/individual/n366314
19221300	http://vivo.ufl.edu/individual/n199051
28011204	http://vivo.ufl.edu/individual/n237306
31020102	http://vivo.ufl.edu/individual/n80396
63610100	http://vivo.ufl.edu/individual/n1278115
27030100	http://vivo.ufl.edu/individual/n183358
08000000	http://vivo.ufl.edu/individual/n51020
60353000	http://vivo.ufl.edu/individual/n243219
55171300	http://vivo.ufl.edu/individual/n8858865
32020700	http://vivo.ufl.edu/individual/n131576
28091600	http://vivo.ufl.edu/individual/n987236
63510000	http://vivo.ufl.edu/individual/n1278115
95430600	http://vivo.ufl.edu/individual/n87379
95370390	http://vivo.ufl.edu/individual/n60167
28323200	http://vivo.ufl.edu/individual/n1278126
14280400	http://vivo.ufl.edu/individual/n466171
14020000	http://vivo.ufl.edu/individual/n973980504
56030200	http://vivo.ufl.edu/individual/n366314
16880000	http://vivo.ufl.edu/individual/n524447
11270000	http://vivo.ufl.edu/individual/n65063
68031000	http://vivo.ufl.edu/individual/n632204
95013000	http://vivo.ufl.edu/individual/n126367
95032200	http://vivo.ufl.edu/individual/n38620
24020104	http://vivo.ufl.edu/individual/n466111
