DEPTID|UFID|JOBCODE|SAL_ADMIN_PLAN|START_DATE|END_DATE|JOBCODE_DESCRIPTION|HR_POSITION
62060100|65113661|1479|OPSN|2014-03-10|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
60210000|60861320|743|CTSY|2001-10-23|NULL|CO AST PROF|1
11050000|62581001|1479|OPSN|2013-12-06|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
32010000|31537888|1573|OF12|2014-01-03|NULL|ACADEMIC LUMP SUM PAYMENT|1
32010000|51346513|1573|OF12|2011-09-28|NULL|ACADEMIC LUMP SUM PAYMENT|1
06030000|86773383|1484|FWSP|2014-02-03|NULL|STU AST - FEDERAL COMM SERVICE|1
30290000|81661160|1479|OPSN|2009-07-01|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
19050000|83909090|820|TU2N|1993-01-15|NULL|OFFICE MGR|1
16900000|86146920|743|CTSY|2011-10-11|NULL|CO AST PROF|1
34010304|15542440|1053|US2N|1991-03-29|NULL|MAINTENANCE SPECIALIST|1
