short	vivo
CPFI	http://vivoweb.org/ontology/core#Postdoc
CTSY	http://vivo.ufl.edu/ontology/vivo-ufl/CourtesyFaculty
FA09	http://vivoweb.org/ontology/core#FacultyMember
FA9M	http://vivo.ufl.edu/ontology/vivo-ufl/ClinicalFaculty
FA10	http://vivoweb.org/ontology/core#FacultyMember
FA12	http://vivoweb.org/ontology/core#FacultyMember
FACM	http://vivo.ufl.edu/ontology/vivo-ufl/ClinicalFaculty
FAPD	http://vivoweb.org/ontology/core#Postdoc
FASU	http://vivoweb.org/ontology/core#FacultyMember
FELL	None
FWSP	None
GA09	None
GA12	None
GASU	None
HOUS	http://vivo.ufl.edu/ontology/vivo-ufl/Housestaff
ISCR	None
OF09	http://vivo.ufl.edu/ontology/vivo-ufl/TemporaryFaculty
OF12	http://vivo.ufl.edu/ontology/vivo-ufl/TemporaryFaculty
OFSU	http://vivo.ufl.edu/ontology/vivo-ufl/TemporaryFaculty
OPSE	None
OPSN	None
STAS	None
STBW	None
TA09	http://vivoweb.org/ontology/core#NonAcademic
TA10	http://vivoweb.org/ontology/core#NonAcademic
TA12	http://vivoweb.org/ontology/core#NonAcademic
TASU	http://vivoweb.org/ontology/core#NonAcademic
TU1E	http://vivoweb.org/ontology/core#NonAcademic
TU2E	http://vivoweb.org/ontology/core#NonAcademic
TU9E	http://vivoweb.org/ontology/core#NonAcademic
TUSE	http://vivoweb.org/ontology/core#NonAcademic
TU1N	None 
TU2N	None 
TU9N	None 
TUSN	None 
US1N	None 
US2N	None 
US9N	None 
USSN	None 
US2E	http://vivoweb.org/ontology/core#NonAcademic
