DEPTID|END_DATE|UFID|SAL_ADMIN_PLAN|JOBCODE|HR_POSITION|uri|remove|current|JOBCODE_DESCRIPTION|START_DATE
62060100|NULL|65113661|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-03-10
60210000|NULL|60861320|CTSY|743|1|||yes|CO AST PROF|2001-10-23
11050000|NULL|62581001|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-12-06
32010000|NULL|31537888|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2014-01-03
32010000|NULL|51346513|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2011-09-28
52030000|NULL|50929810|TU2N|908|1|||yes|PROGRAM AST|2002-05-01
29290100|NULL|08314863|TU2N|908|1|||yes|PROGRAM AST|2004-11-22
60190000|NULL|78331563|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2012-02-03
29310201|NULL|09921050|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2009-08-14
28011303|NULL|21334393|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-08-21
52010000|NULL|15586290|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2014-02-14
60410000|NULL|19429940|TA12|1476|1|||yes|IT EXPERT|2010-07-12
29140300|NULL|14026620|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2012-10-10
33070000|NULL|97419200|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-10-11
19340000|NULL|11837911|CTSY|743|1|||yes|CO AST PROF|2013-09-27
16380100|NULL|28106100|OF09|67|1|||yes|ADJ LECTURER|2013-08-16
31030000|NULL|34343430|CTSY|743|1|||yes|CO AST PROF|1993-07-02
60760000|NULL|86844018|GA12|538|1|||yes|GRADUATE RES AST|2013-01-01
23010200|NULL|12337579|OF09|67|1|||yes|ADJ LECTURER|2013-07-19
14200500|NULL|38189349|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-01-11
16200100|NULL|10214727|GA09|538|1|||yes|GRADUATE RES AST|2010-08-16
60451000|NULL|13653801|TU2N|816|1|||yes|EXTENSION PROGRAM AST|2010-01-08
29091200|NULL|33836373|GA12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2011-08-19
56021100|NULL|91201362|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2007-07-13
30290000|NULL|94344290|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2007-07-01
14800000|NULL|76740250|TA12|1834|1|||yes|IT ANALYST 2|1998-07-27
29011000|NULL|71350510|TU2N|820|1|||yes|OFFICE MGR|1989-05-12
06030000|NULL|86773383|FWSP|1484|1|||yes|STU AST - FEDERAL COMM SERVICE|2014-02-03
30130000|NULL|63486240|FACM|768|1|||yes|ASO PRG DIR & CLIN AST PROF|2008-07-01
52010000|NULL|68644739|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2005-05-06
29050700|NULL|15311280|FACM|321|1|||yes|PRG DIR & ASO PROF|2012-10-01
17220100|NULL|10081520|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2007-12-05
32060300|NULL|40481290|CTSY|141|1|||yes|AFFL LECTURER|2010-10-05
26020100|NULL|67299544|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2007-06-25
30290000|NULL|81661160|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2009-07-01
34010304|NULL|15542440|US2N|1053|1|||yes|MAINTENANCE SPECIALIST|1991-03-29
30290000|NULL|81637940|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|1997-04-15
60900000|NULL|09134191|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2007-01-16
12020100|NULL|25326245|FELL|396|1|||yes|PREDOC FELLOWSHIP|2013-08-16
28313500|NULL|49297230|US2N|908|1|||yes|PROGRAM AST|2000-02-18
29080100|NULL|90617790|TU2N|938|1|||yes|LABORATORY TECH, SR|2008-11-28
57140100|NULL|45157240|CTSY|718|1|||yes|CO POSTDOC ASO|2008-05-12
04040000|NULL|83690391|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-05-19
29190100|NULL|62826242|HOUS|294|1|||yes|CHIEF RESIDENT|2010-07-01
60030000|NULL|74153760|OF12|67|1|||yes|ADJ LECTURER|2014-01-03
29051300|NULL|09061880|FACM|291|1|||yes|CHIEF & PROF|1990-08-01
