uri|comment
http://vivo.ufl.edu/individual/n4452|Test A Record in Vagrant.  In UF production, this is a faculty position URI
http://vivo.ufl.edu/individual/n101258|Excluded Department
http://vivo.ufl.edu/individual/n1058383343|Excluded Department
http://vivo.ufl.edu/individual/n10732|Excluded Department
http://vivo.ufl.edu/individual/n1116864395|Excluded Department
http://vivo.ufl.edu/individual/n11258|Excluded Department
http://vivo.ufl.edu/individual/n1126307795|Excluded Department
http://vivo.ufl.edu/individual/n1126566513|Excluded Department
http://vivo.ufl.edu/individual/n1134193038|Excluded Department
http://vivo.ufl.edu/individual/n1196866048|Excluded Department
http://vivo.ufl.edu/individual/n12760|Excluded Department
http://vivo.ufl.edu/individual/n12832|Excluded Department
http://vivo.ufl.edu/individual/n1321730330|Excluded Department
http://vivo.ufl.edu/individual/n1361128925|Excluded Department
http://vivo.ufl.edu/individual/n136768090|Excluded Department
http://vivo.ufl.edu/individual/n1397221372|Excluded Department
http://vivo.ufl.edu/individual/n14663|Excluded Department
http://vivo.ufl.edu/individual/n1483645524|Excluded Department
http://vivo.ufl.edu/individual/n15529|Excluded Department
http://vivo.ufl.edu/individual/n16201|Excluded Department
http://vivo.ufl.edu/individual/n1650003529|Excluded Department
http://vivo.ufl.edu/individual/n1657450310|Excluded Department
http://vivo.ufl.edu/individual/n1747107116|Excluded Department
http://vivo.ufl.edu/individual/n1754902976|Excluded Department
http://vivo.ufl.edu/individual/n1789|Excluded Department
http://vivo.ufl.edu/individual/n1842232311|Excluded Department
http://vivo.ufl.edu/individual/n18570|Excluded Department
http://vivo.ufl.edu/individual/n1881|Excluded Department
http://vivo.ufl.edu/individual/n188489985|Teresa d'angelo
http://vivo.ufl.edu/individual/n1901726154|Excluded Department
http://vivo.ufl.edu/individual/n19077|Excluded Department
http://vivo.ufl.edu/individual/n1951729461|Excluded Department
http://vivo.ufl.edu/individual/n1957035730|Excluded Department
http://vivo.ufl.edu/individual/n2008850324|Excluded Department
http://vivo.ufl.edu/individual/n2054612382|Excluded Department
http://vivo.ufl.edu/individual/n20834|Excluded Department
http://vivo.ufl.edu/individual/n218490087|Excluded Department
http://vivo.ufl.edu/individual/n22861|Excluded Department
http://vivo.ufl.edu/individual/n228834986|Excluded Department
http://vivo.ufl.edu/individual/n23917|Excluded Department
http://vivo.ufl.edu/individual/n243730361|Excluded Department
http://vivo.ufl.edu/individual/n245087686|Excluded Department
http://vivo.ufl.edu/individual/n254639390|Excluded Department
http://vivo.ufl.edu/individual/n2568|Excluded Department
http://vivo.ufl.edu/individual/n261198538|Excluded Department
http://vivo.ufl.edu/individual/n27958|Excluded Department
http://vivo.ufl.edu/individual/n27991|Excluded Department
http://vivo.ufl.edu/individual/n285376055|Excluded Department
http://vivo.ufl.edu/individual/n295131182|Excluded Department
http://vivo.ufl.edu/individual/n30586097|Excluded Department
http://vivo.ufl.edu/individual/n315035084|Excluded Department
http://vivo.ufl.edu/individual/n31532|Excluded Department
http://vivo.ufl.edu/individual/n319458401|Excluded Department
http://vivo.ufl.edu/individual/n3247|Excluded Department
http://vivo.ufl.edu/individual/n328797854|Excluded Department
http://vivo.ufl.edu/individual/n33092|Excluded Department
http://vivo.ufl.edu/individual/n332269292|Excluded Department
http://vivo.ufl.edu/individual/n34280|Excluded Department
http://vivo.ufl.edu/individual/n35480|Excluded Department
http://vivo.ufl.edu/individual/n35768|Excluded Department
http://vivo.ufl.edu/individual/n367354479|Excluded Department
http://vivo.ufl.edu/individual/n36801|Excluded Department
http://vivo.ufl.edu/individual/n3824|Excluded Department
http://vivo.ufl.edu/individual/n3870|Excluded Department
http://vivo.ufl.edu/individual/n3973|Excluded Department
http://vivo.ufl.edu/individual/n42462|Excluded Department
http://vivo.ufl.edu/individual/n43808|Excluded Department
http://vivo.ufl.edu/individual/n452|Excluded Department
http://vivo.ufl.edu/individual/n473330801|Excluded Department
http://vivo.ufl.edu/individual/n486731367|Excluded Department
http://vivo.ufl.edu/individual/n507168757|Excluded Department
http://vivo.ufl.edu/individual/n50941|Excluded Department
http://vivo.ufl.edu/individual/n521550875|Excluded Department
http://vivo.ufl.edu/individual/n52351|Kari Cassel
http://vivo.ufl.edu/individual/n5346|Excluded Department
http://vivo.ufl.edu/individual/n55836|Excluded Department
http://vivo.ufl.edu/individual/n5598|Excluded Department
http://vivo.ufl.edu/individual/n57935|Excluded Department
http://vivo.ufl.edu/individual/n636736514|Excluded Department
http://vivo.ufl.edu/individual/n6372|Excluded Department
http://vivo.ufl.edu/individual/n6682|Excluded Department
http://vivo.ufl.edu/individual/n681627257|Excluded Department
http://vivo.ufl.edu/individual/n705501557|Excluded Department
http://vivo.ufl.edu/individual/n738501489|Excluded Department
http://vivo.ufl.edu/individual/n7771|Excluded Department
http://vivo.ufl.edu/individual/n87280|Excluded Department
http://vivo.ufl.edu/individual/n8932|Excluded Department
http://vivo.ufl.edu/individual/n901939251|Excluded Department
http://vivo.ufl.edu/individual/n969016764|Excluded Department
http://vivo.ufl.edu/individual/n969961630|Excluded Department
