DEPTID|UFID|JOBCODE|SAL_ADMIN_PLAN|START_DATE|END_DATE|JOBCODE_DESCRIPTION|HR_POSITION
62060100|65113661|1479|OPSN|2014-03-10|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
60210000|60861320|743|CTSY|2001-10-23|NULL|CO AST PROF|1
11050000|62581001|1479|OPSN|2013-12-06|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
32010000|31537888|1573|OF12|2014-01-03|NULL|ACADEMIC LUMP SUM PAYMENT|1
32010000|51346513|1573|OF12|2011-09-28|NULL|ACADEMIC LUMP SUM PAYMENT|1
52030000|50929810|908|TU2N|2002-05-01|NULL|PROGRAM AST|1
29290100|08314863|908|TU2N|2004-11-22|NULL|PROGRAM AST|1
60190000|78331563|1479|OPSN|2012-02-03|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
29310201|09921050|1479|OPSN|2009-08-14|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
28011303|21334393|1479|OPSN|2014-08-21|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
52010000|15586290|1573|OF12|2014-02-14|NULL|ACADEMIC LUMP SUM PAYMENT|1
60410000|19429940|1476|TA12|2010-07-12|NULL|IT EXPERT|1
29140300|14026620|1479|OPSN|2012-10-10|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
33070000|97419200|1479|OPSN|2013-10-11|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
19340000|11837911|743|CTSY|2013-09-27|NULL|CO AST PROF|1
16380100|28106100|67|OF09|2013-08-16|NULL|ADJ LECTURER|1
31030000|34343430|743|CTSY|1993-07-02|NULL|CO AST PROF|1
60760000|86844018|538|GA12|2013-01-01|NULL|GRADUATE RES AST|1
23010200|12337579|67|OF09|2013-07-19|NULL|ADJ LECTURER|1
14200500|38189349|1479|OPSN|2013-01-11|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
16200100|10214727|538|GA09|2010-08-16|NULL|GRADUATE RES AST|1
60451000|13653801|816|TU2N|2010-01-08|NULL|EXTENSION PROGRAM AST|1
29091200|33836373|1573|GA12|2011-08-19|NULL|ACADEMIC LUMP SUM PAYMENT|1
56021100|91201362|1479|OPSN|2007-07-13|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
30290000|94344290|1479|OPSN|2007-07-01|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
14800000|76740250|1834|TA12|1998-07-27|NULL|IT ANALYST 2|1
29011000|71350510|820|TU2N|1989-05-12|NULL|OFFICE MGR|1
06030000|86773383|1484|FWSP|2014-02-03|NULL|STU AST - FEDERAL COMM SERVICE|1
30130000|63486240|768|FACM|2008-07-01|NULL|ASO PRG DIR & CLIN AST PROF|1
52010000|68644739|1573|OF12|2005-05-06|NULL|ACADEMIC LUMP SUM PAYMENT|1
29050700|15311280|321|FACM|2012-10-01|NULL|PRG DIR & ASO PROF|1
17220100|10081520|1573|OF12|2007-12-05|NULL|ACADEMIC LUMP SUM PAYMENT|1
32060300|40481290|141|CTSY|2010-10-05|NULL|AFFL LECTURER|1
26020100|67299544|1479|OPSN|2007-06-25|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
30290000|81661160|1479|OPSN|2009-07-01|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
34010304|15542440|1053|US2N|1991-03-29|NULL|MAINTENANCE SPECIALIST|1
30290000|81637940|1479|OPSN|1997-04-15|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
60900000|09134191|1479|OPSN|2007-01-16|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
12020100|25326245|396|FELL|2013-08-16|NULL|PREDOC FELLOWSHIP|1
28313500|49297230|908|US2N|2000-02-18|NULL|PROGRAM AST|1
29080100|90617790|938|TU2N|2008-11-28|NULL|LABORATORY TECH, SR|1
57140100|45157240|718|CTSY|2008-05-12|NULL|CO POSTDOC ASO|1
04040000|83690391|1479|OPSN|2014-05-19|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
29190100|62826242|294|HOUS|2010-07-01|NULL|CHIEF RESIDENT|1
60030000|74153760|67|OF12|2014-01-03|NULL|ADJ LECTURER|1
29051300|09061880|291|FACM|1990-08-01|NULL|CHIEF & PROF|1
31020100|08532620|1479|OPSN|2013-11-22|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
63520300|49207730|1033|US2N|1999-11-23|NULL|GROUNDSKEEPER|1
12010000|32399636|396|FELL|2013-08-16|NULL|PREDOC FELLOWSHIP|1
28090000|46040458|1479|OPSN|2007-09-10|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
14800000|60093250|1756|TA12|1985-11-15|NULL|INFORMATION TECHNOLOGY MGR|1
18180300|98972970|1479|OPSN|2013-08-20|NULL|OPS HOURLY NON-SECRETARY/CLERK|1
