DEPTID|UFID|END_DATE|title|SAL_ADMIN_PLAN|uri|remove|hr_title|START_DATE
60210000|60861320|NULL|Courtesy Assistant Professor|CTSY|||CO AST PROF|2001-10-23
60410000|19429940|NULL|Information Technology Expert|TA12|||IT EXPERT|2010-07-12
19340000|11837911|NULL|Courtesy Assistant Professor|CTSY|||CO AST PROF|2013-09-27
16380100|28106100|NULL|Adjunct Lecturer|OF09|||ADJ LECTURER|2013-08-16
31030000|34343430|NULL|Courtesy Assistant Professor|CTSY|||CO AST PROF|1993-07-02
23010200|12337579|NULL|Adjunct Lecturer|OF09|||ADJ LECTURER|2013-07-19
14800000|76740250|NULL|Information Technology Analyst 2|TA12|||IT ANALYST 2|1998-07-27
30130000|63486240|NULL|Associate Program Director  and  Clinical Assistant Professor|FACM|||ASO PRG DIR & CLIN AST PROF|2008-07-01
29050700|15311280|NULL|Program Director  and  Associate Professor|FACM|||PRG DIR & ASO PROF|2012-10-01
32060300|40481290|NULL|Affiliate Lecturer|CTSY|||AFFL LECTURER|2010-10-05
57140100|45157240|NULL|Courtesy Postdoctoral Associate|CTSY|||CO POSTDOC ASO|2008-05-12
29190100|62826242|NULL|Chief Resident|HOUS|||CHIEF RESIDENT|2010-07-01
60030000|74153760|NULL|Adjunct Lecturer|OF12|||ADJ LECTURER|2014-01-03
29051300|09061880|NULL|Chief  and  Professor|FACM|||CHIEF & PROF|1990-08-01
14800000|60093250|NULL|Information Technology Manager|TA12|||INFORMATION TECHNOLOGY MGR|1985-11-15
60790000|51870140|NULL|Maintenance Supervisor, Senior|US2E|||MAINTENANCE SPV, SR|1998-07-10
29120000|07588451|NULL|Courtesy Assistant Professor|CTSY|||CO AST PROF|2012-01-03
19050000|51509500|NULL|Adjunct Professor|OF09|||ADJ PROF|2008-06-30
25010000|49909176|NULL|Courtesy Assistant Professor|CTSY|||CO AST PROF|2000-01-01
60090000|11617163|NULL|Courtesy Assistant Professor|CTSY|||CO AST PROF|2010-10-04
29060000|27559903|NULL|Biological Scientist|TU2E|||BIOLOGICAL SCIENTIST|2011-05-31
11300000|94172573|NULL|Laboratory Manager|TU2E|||LABORATORY MGR|2008-02-19
15020100|53661500|NULL|Courtesy Assistant Professor|CTSY|||CO AST PROF|2013-08-16
17200400|69531869|NULL|Program Director  and  Associate In|FA12|||PRG DIR & ASO IN|2009-06-01
16900000|86146920|NULL|Courtesy Assistant Professor|CTSY|||CO AST PROF|2011-10-11
52010000|83191930|NULL|School Director  and  Professor|OF12|||SCH DIR & PROF|2004-10-08
32060000|97280250|NULL|Courtesy Clinical Professor|CTSY|||CO CLIN PROF|2004-06-18
57140100|91839710|NULL|Affiliate Lecturer|CTSY|||AFFL LECTURER|2004-06-18
57140100|13700480|NULL|Affiliate Associate Scholar|CTSY|||AFFL ASO SCHOLAR|2004-06-18
14800000|53438701|NULL|Information Technology Analyst 2|TA12|||IT ANALYST 2|2007-01-19
29050400|99145845|NULL|Courtesy Assistant Professor|CTSY|||CO AST PROF|2012-03-28
28090000|69048925|NULL|Courtesy Assistant Professor|CTSY|||CO AST PROF|2013-02-01
60354036|07176628|NULL|Extension Agent III|FA12|||EXT AGENT III|2007-06-01
60352010|55261100|NULL|Extension Agent III|FA12|||EXT AGENT III|2007-10-19
60354058|55488473|NULL|Extension Agent III|FA12|||EXT AGENT III|2005-03-19
