short	vivo
CPFI	http://vivoweb.org/ontology/core#PostdoctoralPosition
CTSY	http://vivo.school.edu/ontology/uf-extension#CourtesyFacultyPosition
FA09	http://vivoweb.org/ontology/core#FacultyPosition
FA9M	http://vivo.school.edu/ontology/ufextensions#ClinicalFacultyPosition
FA10	http://vivoweb.org/ontology/core#FacultyPosition
FA12	http://vivoweb.org/ontology/core#FacultyPosition
FACM	http://vivo.school.edu/ontology/ufextensions#ClinicalFacultyPosition
FAPD	http://vivoweb.org/ontology/core#PostdoctoralPosition
FASU	http://vivoweb.org/ontology/core#FacultyPosition
FELL	None
FWSP	None
GA09	None
GA12	None
GASU	None
HOUS	http://vivo.school.edu/ontology/ufextensions#HousestaffPosition
ISCR	None
OF09	http://vivo.school.edu/ontology/ufextensions#TemporaryFacultyPosition
OF12	http://vivo.school.edu/ontology/ufextensions#TemporaryFacultyPosition
OFSU	http://vivo.school.edu/ontology/ufextensions#TemporaryFacultyPosition
OPSE	None
OPSN	None
STAS	None
STBW	None
TA09	http://vivoweb.org/ontology/core#NonAcademicPosition
TA10	http://vivoweb.org/ontology/core#NonAcademicPosition
TA12	http://vivoweb.org/ontology/core#NonAcademicPosition
TASU	http://vivoweb.org/ontology/core#NonAcademicPosition
TU1E	http://vivoweb.org/ontology/core#NonAcademicPosition
TU2E	http://vivoweb.org/ontology/core#NonAcademicPosition
TU9E	http://vivoweb.org/ontology/core#NonAcademicPosition
TUSE	http://vivoweb.org/ontology/core#NonAcademicPosition
TU1N	None 
TU2N	None 
TU9N	None 
TUSN	None 
US1N	None 
US2N	None 
US9N	None 
USSN	None 
US2E	http://vivoweb.org/ontology/core#NonAcademicPosition
