vivo	short	count
http://xmlns.com/foaf/0.1/Person	person	177449
http://xmlns.com/foaf/0.1/Person	false	177449
http://www.w3.org/2002/07/owl#Thing	thing	165859
http://xmlns.com/foaf/0.1/Agent	agent	151934
http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity	uf	56535
http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity	true	56353
http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity	ufc	18285
http://vivoweb.org/ontology/core#NonAcademic	staff	10040
http://vivoweb.org/ontology/core#FacultyMember	fac	9225
http://vivo.ufl.edu/ontology/vivo-ufl/CourtesyFaculty	cfac	6285
http://vivo.ufl.edu/ontology/vivo-ufl/Consultant	cons	5362
http://vivo.ufl.edu/ontology/vivo-ufl/MiscFaculty	mfac	5001
http://vivoweb.org/ontology/core#EmeritusProfessor	eprof	1377
http://vivoweb.org/ontology/core#Postdoc	pd	1066
http://vivoweb.org/ontology/core#EmeritusFaculty	efac	901
http://vivoweb.org/ontology/core#NonFacultyAcademic	nfa	824
http://vivo.ufl.edu/ontology/vivo-ufl/Housestaff	house	398
http://vivo.ufl.edu/ontology/vivo-ufl/TemporaryFaculty	tfac	210
http://vivo.ufl.edu/ontology/vivo-ufl/ClinicalFaculty	clinfac	114
http://vivo.ufl.edu/ontology/vivo-ufl/Deceased	d	72
http://vivoweb.org/ontology/core#Librarian	l	66
http://vivoweb.org/ontology/core#GraduateStudent	gs	42
http://vivoweb.org/ontology/core#Student	stu	26
http://vivo.ufl.edu/ontology/vivo-ufl/VIVOOptIn	vivo	2
