original|improved
A V S AMER INST PHYSICS|A V S AMERICAN INSTITUTE OF PHYSICS
ACAD AMER FRANCISCAN HIST|ACADEMY OF AMERICAN FRANCISCAN HISTORY
ACAD MANAGED CARE PHARMACY|ACADEMY OF MANAGED CARE PHARMACY
ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD|ACADEMIC PRESS
Academic Press Ltd-Elsevier Science Ltd|ACADEMIC PRESS
ACADEMIC PRESS INC ELSEVIER SCIENCE|ACADEMIC PRESS
ACOUSTICAL SOC AMER AMERICAN INSTITUTE OF PHYSICS|ACOUSTICAL SOCIETY OF AMERICA
ADIS INT LTD|ADIS INTERNATIONAL LIMITED
ADIS INT LTD|ADIS INTERNATIONAL LIMITED
AEROSPACE MEDICAL ASSOC|AEROSPACE MEDICAL ASSOCIATION
AGRICULTURAL INSTITUTE CANADA|AGRICULTURAL INSTITUTE OF CANADA
Akademiai Kiado Rt|AKADEMIAI KIADO RT
AM SOC INTERVENTIONAL PAIN PHYSICIANS|AMERICAN SOCIETY OF INTERVENTIONAL PAIN PHYSICIANS
AMER  ASSOC TEACHERS SPANISH PORTUGUESE, INC|AMERICAN ASSOCIATION OF TEACHERS OF SPANISH AND PORTUGUESE, INC
AMER ACAD AUDIOLOGY|AMERICAN ACADEMY OF AUDIOLOGY
AMER ACAD FAMILY PHYSICIANS|AMERICAN ACADEMY OF FAMILY PHYSICIANS
AMER ACAD PEDIATRICS|AMERICAN ACADEMY OF PEDIATRICS
AMER ACAD PSYCHIATRY and LAW|AMERICAN ACADEMY OF PSYCHIATRY AND LAW
AMER ACAD SLEEP MEDICINE|AMERICAN ACADEMY OF SLEEP MEDICINE  
AMER ASSOC ADVANCEMENT SCIENCE|AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE
AMER ASSOC ADVANCEMENT SCIENCE|AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE
AMERICAN ASSOCIATION ADVANCEMENT SCIENCE|AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE
AMER ASSOC CANCER RESEARCH|AMERICAN ASSOCIATION FOR CANCER RESEARCH
AMERICAN ASSOCIATION CANCER RESEARCH|AMERICAN ASSOCIATION FOR CANCER RESEARCH
AMER ASSOC CLINICAL CHEMISTRY|AMERICAN ASSOCIATION FOR CLINICAL CHEMISTRY
AMER ASSOC CLINICAL ENDOCRINOLOGISTS|AMERICAN ASSOCIATION OF CLINICAL ENDOCRINOLOGISTS
AMER ASSOC COLL PHARMACY|AMERICAN ASSOCIATION OF COLLEGES OF PHARMACY
AMER ASSOC COLL PHARMACY|AMERICAN ASSOCIATION OF COLLEGES OF PHARMACY
AMER ASSOC IMMUNOLOGISTS|AMERICAN ASSOCIATION OF IMMUNOLOGISTS
AMER ASSOC LABORATORY ANIMAL SCIENCE|AMERICAN ASSOCIATION OF LABORATORY ANIMAL SCIENCE
AMER ASSOC LAW LIBRARIES|AMERICAN ASSOCIATION OF LAW LIBRARIES
AMER ASSOC NEUROLOGICAL SURGEONS|AMERICAN ASSOCIATION OF NEUROLOGICAL SURGEONS
AMERICAN ASSOCIATION NEUROLOGICAL SURGEONS|AMERICAN ASSOCIATION OF NEUROLOGICAL SURGEONS
AMER ASSOC PHYSICISTS MEDICINE AMER INST PHYSICS|AMERICAN ASSOCIATION OF PHYSICISTS IN MEDICINE
American Association of Physicists in Me|AMERICAN ASSOCIATION OF PHYSICISTS IN MEDICINE
AMER ASSOC TEACHERS FRENCH|AMERICAN ASSOCIATION OF TEACHERS OF FRENCH
AMER ASSOC TEACHERS SLAVIC EAST EUROPEAN LANGUAGES|AMERICAN ASSOCIATION OF TEACHERS OF SLAVIC AND EAST EUROPEAN LANGUAGES
AMER ASSOC TEACHERS SPANISH PORTUGUESE, INC|AMERICAN ASSOCIATION OF TEACHERS OF SPANISH AND PORTUGUESE
AMER ASSOC TEXTILE CHEMISTS COLORISTS|AMERICAN ASSOCIATION OF TEXTILE CHEMISTS AND COLORISTS
AMER ASSOC ZOO VETERINARIANS|AMERICAN ASSOCIATION OF ZOO VETERINARIANS
AMER BAR ASSOC, ADMINISTRATIVE LAW \& REGULATORY PRACTICE SECTION|AMERICAN BAR ASSOCIATION
AMER BOARD FAMILY MEDICINE|AMERICAN BOARD OF FAMILY MEDICINE
AMER CHEMICAL SOC|AMERICAN CHEMICAL SOCIETY
AMER COLL CHEST PHYSICIANS|AMERICAN COLLEGE OF CHEST PHYSICIANS
AMER COLL PHYSICIANS|AMERICAN COLLEGE OF PHYSICIANS
AMER COLL VET PATHOLOGIST|AMERICAN COLLEGE OF VETERINARY PATHOLOGISTS
AMER CONCRETE INST|AMERICAN CONCRETE INSTITUTE
AMER FOLKLORE SOC|AMERICAN FOLKLORE SOCIETY
AMER INST AERONAUT ASTRONAUT|AMERICAN INSTITUTE OF AERONAUTICS AND ASTRONAUTICS
AMER INST AERONAUTICS  ASTRONAUTICS|THE AMERICAN INSTITUTE OF AERONAUTICS AND ASTRONAUTICS
AMERICAN INSTITUTE AERONAUTICS ASTRONAUTICS|THE AMERICAN INSTITUTE OF AERONAUTICS AND ASTRONAUTICS
AMER INST BIOLOGICAL SCI|AMERICAN INSTITUTE OF BIOLOGICAL SCIENCE
AMER INST MATHEMATICAL SCI|AMERICAN INSTITUTE OF MATHEMATICAL SCIENCES
AMER INST MATHEMATICAL SCIENCES|AMERICAN INSTITUTE OF MATHEMATICAL SCIENCES
AMER INST PHYSICS|AMERICAN INSTITUTE OF PHYSICS
AMERICAN INSTITUTE PHYSICS|AMERICAN INSTITUTE OF PHYSICS
AMER JOURNAL HEALTH PROMOTION INC|AMERICAN JOURNAL OF HEALTH PROMOTION INC
AMER MEDICAL ASSOC|AMERICAN MEDICAL ASSOCIATION
AMER MUSEUM NATURAL HISTORY|AMERICAN MUSEUM OF NATURAL HISTORY
AMER OCCUPATIONAL THERAPY ASSOC, INC|AMERICAN OCCUPATIONAL THERAPY ASSOCIATION
AMER PHYSICAL THERAPY ASSOC|AMERICAN PHYSICAL THERAPY ASSOCIATION
AMER PHYSIOLOGICAL SOC|AMERICAN PHYSIOLOGICAL SOCIETY
AMER PSYCHOLOGICAL ASSOC|AMERICAN PHYSIOLOGICAL ASSOCIATION
AMER PSYCHIATRIC PUBLISHING, INC|AMERICAN PSYCHIATRIC PUBLISHING
AMER PSYCHIATRIC PUBLISHING, INC|AMERICAN PSYCHIATRIC PUBLISHING, INC
AMER PUBLIC HEALTH ASSOC INC|AMERICAN PUBLIC HEALTH ASSOCIATION
AMER PUBLIC HEALTH ASSOCIATION INC|AMERICAN PUBLIC HEALTH ASSOCIATION
