Sponsor_ID|SponsorName
GM01052|NOVAZYME PHARMACEUTICALS INC
GM01053|GLAXO SMITHKLINE
GM01071|CONCEPTS IN PHARM RESEARCH INC
GM01072|ACORN CARDIOVASCULAR INC
GM01097|FABRE KRAMER PHARMACEUTICALS
GM01098|VISTEON CORP
GM01099|ITT INDUSTRIES INC
GM011|ADVANCED TISSUE SCIENCES
GM0110|CETUS ONCOLOGY CORP
GM01100|TITAN PHARMACEUTICALS INC
GM01|SPONSORED PROGRAMS HOLDING ACCOUNT
GM010|ADVANCED TECHNOLOGY LABS INC
GM0100|BURROUGHS WELLCOME COMPANY
GM01000|SEASPACE CORPORATION
GM01001|PHORMAX CORPORATION
GM01002|OPTOMETRIX INC
GM01003|AVAX AMERICA INC
GM01004|AMER BIOSCIENCE INC
GM01005|EXPONENT ENVIRONMENTAL GROUP
GM01006|GALILEO LABORATORIES INC
GM01007|SEPRACOR INC
GM01008|WRS INFRASTRUCTURE & ENV
GM01009|FRAMATOME TECHNOLOGIES INC
GM0101|BURROUGHS WELLCOME FUND
GM01010|TOUCHSTONE RESEARCH LABS
GM01011|OUTCOME SCIENCES INC
GM01012|ST LUKES HOSPITAL KANSAS CITY
GM01013|VMRD INCORPORATED
GM01014|AEROBIOLOGICAL SOLUTIONS INC
GM01015|B & M RESEARCH
GM01016|SPANUSA INC
GM01017|ST JUDE MEDICAL CENTER
GM01018|ST JUDE MEDICAL CARDIAC RHYTHM MGMT DIV
GM01019|INO THERAPEUTICS INC
GM0102|CALSPAN CORP
GM01020|IMPLANT INNOVATIONS INC
GM01021|SYLDON ASSOCIATES INC
GM01022|INTRABIOTICS PHARMACEUTICALS
GM01023|WHITMIRE MICRO-GEN
GM01024|MRI DEVICES CORPORATION
GM01054|PART2 TECHNOLOGIES INC
GM01055|UNIPROP
GM01056|PARTICLE SYSTEMS
GM01057|BECHTEL GROUP INC NEVADA
GM01058|LPG MAPPING & COMPUTER SERVICE
GM01059|NEPHRON PHARMACEUTICALS CORP
GM0106|CATO RESEARCH
GM01060|AVANTA ORTHOPAEDICS INC
GM01061|NEREUS PHARMACEUTICALS INC
GM01062|SULLIVAN ENV CONS METAM-SODIUM TASK
GM01063|THESEUS IMAGING CORP
GM01064|GENTA INC
GM01065|OPTYM
GM01066|NOEL-LEVITZ
GM01073|LINEBERRY RES ASSOCIATES
GM01074|DELOITTE TOUCHE TOHMATSU
GM01075|ACCURATE AUTOMATION CORP
GM01076|CARANA CORP
GM01077|LIMNO-TECH INC
GM01078|VALENT BIOSCIENCES CORP
GM01079|BBJ ENVIRONMENTAL SOLUTIONS
GM0108|CENTOCOR
GM01080|EXXONMOBIL UPSTREAM RESARCH COMPANY
GM01081|PURE FISHING
GM01082|NEW DRUG SERVICES INC
GM01083|ISIS PHARMACEUTICALS INC
GM01084|APHTON CORP
GM01085|RESOURCE MANAGEMENT GROUP INC
GM01086|PSYCH ASSESSMENT RESOURCES INC
GM01087|BLUE SKY RESEARCH
GM01088|FL GAS TRANSMISSION
GM01089|HORIZON MEDICAL PRODUCTS
GM0109|CER-BURG ENTERPRISES INC
GM01090|NEW HAMPSHIRE HEALTHY KIDS COR
GM01029|CORIXA CORP COULTER PHARMACEUTICAL
GM0103|CAMP DRESSER & MCKEE
GM0104|CARE-TECH LABORATORIES
GM01040|BIOMET INC
GM01041|KEENE ENGINEERING INC
GM01042|NOW MARKETING INTERNATIONAL
GM01043|COMMUNICATION TRAIN ANAL CORP
GM01044|ASI SPECIALITIES
GM01045|COASTAL TECHNOLOGY CORP
GM01046|APPLIED PHARMACOLOGY & TOXICOL
GM01047|OMNICARE CLINICAL RESEARCH
GM01048|ALPHA ONCOLOGY
GM01049|VISTAGEN
GM0105|CARGILL FERTILIZER INC
GM01050|SEA LIFE PARK HAWAII
GM01051|CEREXAGRI INC
GM01153|CUBIST PHARMACEUTICALS INC
GM01154|ERGO INTERNATIONAL CORP
GM01199|INTERDISCIPLINARY CONSULT CORP
GM012|AFFORDABLE HOUSING CONSULTANTS
GM0120|CLINICAL SCIENCES INC WALLACE LABS
GM01200|COASTAL FRONTIERS CORP
GM01201|NANOSPHERE
GM01202|IONALYTICS CORP
GM01203|LION BIOSCIENCES
GM01204|S AND C ELECTRIC COMPANY
GM01205|SOUTHERN DATASTREAM
GM01206|SURGICAL SEALANTS
GM01207|ASSOCIATED GEN CONT GREATER FL
GM01208|OPTECH INC INTERNATIONAL
GM01209|ATLANTIC PHILANTHROPIC SERVICE
GM0121|CLINTEC NUTRITION COMPANY
GM01210|SENSE OF SMELL INST
GM01211|AMYLIN PHARMACEUTICALS
GM01212|ZONA TECHNOLOGIES
GM01213|NIELSEN ENGINEERING & RES
GM01214|VERSICOR
GM01215|SYMETRICS INDUSTRIES
GM01216|ATI TECHNOLOGIES RES
GM01217|INNERCOOL THERAPIES
GM01218|ADV RESPIRATORY
GM01219|SUNBEAM PRODUCTS
GM0122|CLINTRIALS RESEARCH INC
GM01220|ESPERION THERAPEUTICS
GM01221|KRAFT FOODS
GM01222|KRAFT FOODS MAXWELL HOUSE
GM01030|IVOCLAR NORTH AMERICA INC
GM01031|SYNGENTA AGRIBUSINESS BIO RES
GM01032|IMPATH-BCP INC
GM01033|GENOMECHANIX
GM01034|RADIATION MONITORING DEVICES
GM01035|INTEGRATED RESEARCH
GM01067|ANTIGENICS INC
GM01068|ENDOCARDIAL SOLUTIONS INC
GM01069|SCICLONE PHARMACEUTICALS INC
GM0107|CNTR FOR DRUG FREE LIVING
GM01070|MATRIX PHARMACEUTICAL INC
GM01025|CERAMATEC INC
GM01026|ZOLL MEDICAL CORP
GM01027|GENITOPE CORP
GM01028|NANOCOAT TECHNOLOGIES
GM01198|EXPERIMENTAL AND APPLIED SCI
GM01249|RADIATION TECHNOLOGIES
GM0125|COHEN & ASSOCIATES S
GM01250|SINMAT
GM01251|MD SYSTEMS
GM01252|PANDION SYSTEMS
GM01253|IMMUNEX CORP
GM01254|AERODYNE RESEARCH INC
GM01255|INTERVET INTERNATIONAL B.V.
GM01256|TAYLOR ENGINEERING
GM01257|MOXON AND KOBRIN
GM01258|CTR FOR HEALTHCARE STRATAGIES
GM01259|HEMOSOL
GM0126|COLGATE-PALMOLIVE CO
GM01260|ALLIED AEROSPACE
GM01261|ARDAMAN AND ASSOCIATES
GM01262|MEDICAL EDU CONSULTANTS
GM01263|CROFESSIONALS
GM01264|REVERE CONSULTING
GM01265|OCEAN OPTICS
GM01266|SEBASTIAN CHEMICAL SUPPLIER
GM01267|DISCOVERY LABORATORIES
GM01101|ENTERON PHARMACEUTICALS INC
GM01102|ARRIVA PHARMACEUTICALS INC
GM01103|NITROMED INC
GM01104|AZZAZY TECHNOLOGIES INC
GM01105|GEOTECHNICAL & ENV CONSULT
GM01106|MISSISSIPPI CHEMICAL CORP
GM01107|TIGER-SUNBELT INDUSTRIES
GM01108|MYCORRHIZAL APPLICATIONS INC
GM01109|BUFFERS USA INC
GM0111|CH2M HILL
GM01110|PERRY PARRISH INC
GM01111|ROCHE DIAGNOSTICS CORP
GM01112|KINETIC CONCEPTS INC
GM01113|KEARNEY & ASSOCIATES
GM01174|VAXGEN
GM01175|LIQUIDMETAL TECHNOLOGIES TAMPA
GM01176|INVERESK RESEARCH
GM01177|ADOLOR CORP
GM01178|COMMUNITY MEDICAL CTR
GM01179|INNAPHASE CORPORATION
GM0118|CIBA-GEIGY CORP
GM01180|ICAGEN INC
GM01181|MATHEMATICA POLICY RES
GM01182|OCTAGON
GM01183|CERTUS INTL
GM01184|MYOGEN INCORPORATED
GM01185|ACCUMETRICS
GM01186|FINE SCIENCE TOOLS (USA) INC
GM01187|FREEDOM SCIENTIFIC INC
GM01188|NOVARTIS AQUAHEALTH
GM01189|SYSTEM DYNAMICS INTERNATIONAL
GM0119|CIPM
GM01190|MICROMET TECHNOLOGY INC
GM01191|UNITED SPACE ALLIANCE
GM01192|IMCLONE SYSTEMS
GM01193|SYNGENTA BIOTECHNOLOGY
GM01194|SHIRE PHARMACEUTICAL DEV
GM01195|BIOSENSE WEBSTER
GM01196|STRYKER HOWMEDICA OSTEONICS
GM01197|ANTEON CORP
GM01118|ICU DATASYSTEMS INC
GM01119|FAVRILLE INC
GM0112|CHAMPION INTERNATIONAL CORP
GM01120|JOBHOG INC
GM01121|COMPUTER SCIENCE INNOVATION
GM01122|INTERVASCULAR
GM01123|INTROGEN THERAPEUTICS INC
GM01124|ACCELRYS INC
GM01125|INTERMAGNETICS GENERAL CORP IGC-SUPERPWR
GM01126|APPLIED GENETICS TECH CORP
GM01127|AMDL INC
GM01128|SOMATOCOR INC
GM01129|PG AND E CORP NATL ENERGY GROUP
GM0113|CHEMEX PHARMACEUTICALS
GM01114|INTERMUNE INC
GM01115|SCHWARZ BIOSCIENCES INC
GM01116|SVT ASSOCIATES INC
GM01117|TAKEDA PHARM NORTH AMERICA
GM01136|UNIROYAL TECH STERLING SEMICONDUCTOR INC
GM01137|GLOBAL COMMUNICATION DEVICES
GM01138|PERCLOSE INC
GM01139|HSA ENGINEERS AND SCIENTISTS
GM0114|CHIRON BIOCINE COMPANY
GM01140|PARAGON BIOMEDICAL INC
GM01141|CORGENTECH INC
GM01142|JABIL CIRCUIT
GM01143|INC RESEARCH INC
GM01144|NEW ERA TECHNOLOGIES
GM01145|NEWBY MANAGEMENT
GM01146|ALCON RESEARCH
GM01147|ARYX THERAPEUTICS
GM01148|IMC GLOBAL INC FEED INGREDIENTS
GM01149|ABAXIS INC
GM0115|CHR HANSEN'S BIO-SYSTEMS
GM01150|FINNEGAN HENDERSON FARABOW
GM01151|PLANT CELL TECHNOLOGY INC
GM01152|NOVOZYMES BIOLOGICALS INC
GM01036|DRAGER MEDICAL INC NA DRAGER
GM01037|ARCH HISTORICAL CONSERVANCY
GM01038|LOSS PREVENTION SOLUTIONS
GM01039|NOVUS INTERNATIONAL
GM01247|RIBAPHARM
GM01091|PRUDENTIAL INSUR CO REAL ESTATE INVESTOR
GM01092|WORLD DIAGNOSTICS INC
GM01093|CYGNET ENTERPRISES INC
GM01094|NEUROGESX INC
GM01095|PBI GORDON CORPORATION
GM01096|PACESETTER INC
GM01167|INTEGRA LIFESCIENCES CORP
GM01168|NOVELOS THERAPEUTICS INC
GM01169|MDS PHARMA SERVICES CLIN RES
GM0117|CIBA VISION CORP OPHTHALMICS
GM01170|NEW ENGLAND RES INST
GM01171|ONYX PHARMACEUTICALS
GM01172|INGENIX PHARMACEUTICAL SERVICE
GM01173|ARVESTA CORP
GM0127|CONOCO INC
GM01270|JUSTAK RESEARCH & DEVELOPMENT
GM01271|ADV RESEARCH CORP
